"BehaviorSpace results (NetLogo 6.2.2)"
"M0poursimu.nlogo"
"calibration-surveillance-déléguée"
"08/03/2022 11:06:34:721 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","nb-surveillants","coordination-RNA","engagés-initiaux","nombre-bergers","proba-discu","S-pop","RNA","proba-denonce","fréquence-réu","q-présence-brousse","S-repreZ","nb-coupeurs","nb-proTG-max","malus-nb-chps","tps-au-champ","participants","[step]","coupeurs-attrapes","nb-arbres","nb-engages","nb-coupe"
"7","1","false","9","5","40","false","true","80","1","0.2","true","10","25","0.15","50","10","8000","39","198","0","185"
"3","1","false","9","5","40","false","true","80","1","0.2","true","10","25","0.1","50","10","8000","72","261","0","187"
"2","1","false","9","5","40","false","true","80","1","0.2","true","10","25","0.1","50","10","8000","59","180","0","167"
"5","1","false","9","5","40","false","true","80","1","0.2","true","10","25","0.1","50","10","8000","80","194","1","221"
"4","1","false","9","5","40","false","true","80","1","0.2","true","10","25","0.1","50","10","8000","56","223","0","166"
"8","1","false","9","5","40","false","true","80","1","0.2","true","10","25","0.15","50","10","8000","51","272","0","185"
"6","1","false","9","5","40","false","true","80","1","0.2","true","10","25","0.15","50","10","8000","46","239","0","164"
"1","1","false","9","5","40","false","true","80","1","0.2","true","10","25","0.1","50","10","8000","73","238","0","192"
"11","1","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","8000","30","213","0","188"
"10","1","false","9","5","40","false","true","80","1","0.2","true","10","25","0.15","50","10","8000","31","236","0","165"
"9","1","false","9","5","40","false","true","80","1","0.2","true","10","25","0.15","50","10","8000","50","182","0","201"
"14","1","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","8000","45","243","0","247"
"13","1","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","8000","30","216","0","177"
"12","1","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","8000","27","188","0","179"
"15","1","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","8000","18","190","0","168"
"16","1","false","9","5","40","false","true","80","1","0.2","true","10","25","0.25","50","10","8000","33","246","0","174"
"17","1","false","9","5","40","false","true","80","1","0.2","true","10","25","0.25","50","10","8000","20","236","0","163"
"19","1","false","9","5","40","false","true","80","1","0.2","true","10","25","0.25","50","10","8000","16","228","0","125"
"18","1","false","9","5","40","false","true","80","1","0.2","true","10","25","0.25","50","10","8000","23","189","0","159"
"23","1","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","8000","19","235","0","188"
"20","1","false","9","5","40","false","true","80","1","0.2","true","10","25","0.25","50","10","8000","25","193","0","179"
"22","1","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","8000","11","216","0","162"
"21","1","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","8000","13","221","0","148"
"24","1","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","8000","25","223","0","207"
"25","1","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","8000","20","121","0","162"
"27","3","false","9","5","40","false","true","80","1","0.2","true","10","25","0.1","50","10","8000","230","1698","89","144"
"31","3","false","9","5","40","false","true","80","1","0.2","true","10","25","0.15","50","10","8000","230","1200","86","290"
"28","3","false","9","5","40","false","true","80","1","0.2","true","10","25","0.1","50","10","8000","230","1314","88","150"
