"BehaviorSpace results (NetLogo 6.2.2)"
"M0-tree-model3-régénération.nlogo"
"calibration-tpschamps"
"07/25/2022 09:49:45:167 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","nb-surveillants","engagés-initiaux","nombre-bergers","proba-discu","S-pop","RNA","proba-denonce","nb-champs-visités","fréquence-réu","q-présence-brousse","S-repreZ","nb-coupeurs","nb-proTG-max","coordination","indice-deseng","participants","tps-au-champ","[step]","%-under-tree","coupeurs-attrapes","nb-arbres","MoyN-interet-RNA","nb-engages","delta-mil"
"5","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0","10","0","5460","35.42","0","340","0","0","-160.63785999997125"
"7","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0","10","20","5460","36.53","0","340","0","0","-165.8586999999796"
"2","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0","10","0","5460","36.88","0","359","0","0","-149.85813999996464"
"6","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0","10","20","5460","35.86","0","344","0","0","-173.47085999997944"
"3","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0","10","0","5460","35.010000000000005","0","346","0","0","-246.6627799999689"
"4","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0","10","0","5460","35.27","0","337","0","0","-185.02681999998967"
"8","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0","10","20","5460","37.26","0","355","0","0","-196.85195999995994"
"1","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0","10","0","5460","35.42","0","339","0","0","-168.30635999998702"
"9","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0","10","20","5460","35.78","0","348","0","0","-114.05719999996509"
"10","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0","10","20","5460","36.46","0","347","0","0","2.641720000041096"
"14","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0","10","40","5460","37.45","0","351","0","0","-117.85075999997862"
"13","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0","10","40","5460","36.309999999999995","0","341","0","0","-136.38661999999022"
"11","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0","10","40","5460","36.83","0","357","0","0","-122.08251999995336"
"15","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0","10","40","5460","35.92","0","337","0","0","-23.287199999972653"
"12","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0","10","40","5460","37.65","0","346","0","0","-35.1060799999701"
"16","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0","10","60","5460","35.86","0","361","0","0","-158.5344999999783"
"17","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0","10","60","5460","38.45","0","359","0","0","-130.76513999996314"
"20","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0","10","60","5460","38.34","0","351","0","0","-201.02111999997578"
"18","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0","10","60","5460","35.93","0","338","0","0","8.995620000019699"
"24","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0","10","80","5460","36.59","0","341","0","0","-270.9515799999805"
"21","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0","10","80","5460","35.120000000000005","0","332","0","0","-216.85265999998302"
"22","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0","10","80","5460","35.38","0","353","0","0","7.255340000033175"
"19","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0","10","60","5460","36.3","0","334","0","0","-176.32541999998284"
"23","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0","10","80","5460","33.81","0","348","0","0","-175.42397999999156"
"25","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0","10","80","5460","36.809999999999995","0","345","0","0","-57.435499999977765"
"30","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0","10","100","5460","34.99","0","333","0","0","-62.90673999998107"
"27","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0","10","100","5460","35.39","0","350","0","0","-223.3693199999907"
"28","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0","10","100","5460","35.9","0","330","0","0","-144.12397999995954"
"32","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.1","10","0","5460","34.260000000000005","0","323","0","0","-122.97143999996915"
"29","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0","10","100","5460","36.3","0","356","0","0","3.305280000012135"
"31","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.1","10","0","5460","37.29","0","345","0","0","-179.83101999997817"
"26","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0","10","100","5460","37.28","1","342","0","0","-171.1483999999895"
"33","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.1","10","0","5460","36.27","0","351","0","0","-90.44447999996628"
"36","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.1","10","20","5460","34.18","0","321","0","0","-115.11513999997115"
"34","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.1","10","0","5460","36.43","0","356","0","0","-182.07835999998133"
"40","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.1","10","20","5460","34.67","0","360","0","0","-49.83585999996867"
"35","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.1","10","0","5460","35.49","0","345","0","0","-33.27815999998493"
"37","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.1","10","20","5460","35.449999999999996","0","336","0","0","-12.113099999965925"
"38","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.1","10","20","5460","37.89","0","341","0","0","52.38994000003659"
"39","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.1","10","20","5460","38.03","0","359","0","0","2.691800000017247"
"41","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.1","10","40","5460","36.870000000000005","0","336","0","0","115.87886000004"
"42","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.1","10","40","5460","37.96","0","360","0","0","-77.1357199999773"
"43","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.1","10","40","5460","35.25","0","345","0","0","-135.6228999999672"
"45","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.1","10","40","5460","34.67","0","349","0","0","-14.973919999956706"
"44","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.1","10","40","5460","35.27","0","324","0","0","-133.52579999996814"
"48","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.1","10","60","5460","33.879999999999995","0","339","0","0","-83.83391999996384"
"46","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.1","10","60","5460","36.29","0","357","0","0","-89.49921999996732"
"47","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.1","10","60","5460","35.730000000000004","0","348","0","0","-129.52565999994914"
"49","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.1","10","60","5460","35.58","0","315","0","0","-122.63965999995999"
"50","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.1","10","60","5460","37.05","0","345","0","0","-153.06951999999654"
"51","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.1","10","80","5460","34.11","0","336","0","0","-86.14385999996958"
"52","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.1","10","80","5460","36.13","0","357","0","0","-44.283239999987565"
"53","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.1","10","80","5460","35.86","0","348","0","0","-49.66683999996967"
"55","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.1","10","80","5460","35.77","0","344","0","0","-276.6168800000014"
"56","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.1","10","100","5460","36.15","0","359","0","0","-178.8669799999778"
"54","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.1","10","80","5460","36.35","0","351","0","0","20.37630000004865"
"57","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.1","10","100","5460","36.78","0","353","0","0","-127.27831999995688"
"58","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.1","10","100","5460","35.42","8","330","0","0","-203.00553999996993"
"59","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.1","10","100","5460","37.49","2","355","0","0","-178.92957999998762"
"63","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.2","10","0","5460","37.53","0","370","0","0","1.064200000022538"
"60","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.1","10","100","5460","37.24","0","349","0","0","-64.89115999998322"
"61","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.2","10","0","5460","34.03","0","350","0","0","-194.07251999996953"
"62","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.2","10","0","5460","37.64","0","349","0","0","-173.58979999997027"
"64","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.2","10","0","5460","36.44","0","347","0","0","-39.00605999998006"
"65","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.2","10","0","5460","34.92","0","331","0","0","-85.52411999997784"
"66","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.2","10","20","5460","35.69","0","350","0","0","-73.58003999998255"
"67","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.2","10","20","5460","35.24","0","356","0","0","-24.19489999997895"
"69","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.2","10","20","5460","37.14","0","354","0","0","-206.71146000000664"
"68","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.2","10","20","5460","37.96","0","360","0","0","-77.16075999998574"
"70","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.2","10","20","5460","35.44","0","348","0","0","-17.96619999997274"
"72","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.2","10","40","5460","37.07","0","345","0","0","-1.5712599999824306"
"71","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.2","10","40","5460","37.269999999999996","0","345","0","0","-45.015659999990746"
"73","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.2","10","40","5460","37.31","0","353","0","0","54.462000000050466"
"74","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.2","10","40","5460","33.58","0","356","0","0","-117.31865999997027"
"75","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.2","10","40","5460","36.79","0","361","0","0","-70.51889999996783"
"77","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.2","10","60","5460","35.93","0","353","0","0","-98.35711999995256"
"76","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.2","10","60","5460","35.42","0","348","0","0","-284.9551999999727"
"79","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.2","10","60","5460","37.21","0","335","0","0","93.9313000000373"
"78","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.2","10","60","5460","36.66","0","350","0","0","24.83968000002642"
"80","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.2","10","60","5460","37.5","0","349","0","0","-36.95277999998289"
"81","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.2","10","80","5460","38.79","0","365","0","0","-15.474719999980152"
"82","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.2","10","80","5460","35.89","0","341","0","0","-21.12749999996595"
"84","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.2","10","80","5460","34.83","0","337","0","0","55.238240000056976"
"83","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.2","10","80","5460","36.63","0","339","0","0","-203.9883599999768"
"86","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.2","10","100","5460","35.8","0","336","0","0","-53.13487999997451"
"85","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.2","10","80","5460","35.54","0","340","0","0","-24.964879999986444"
"88","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.2","10","100","5460","36.309999999999995","0","346","0","0","-72.5158399999651"
"87","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.2","10","100","5460","34.599999999999994","0","343","0","0","-69.11665999997567"
"89","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.2","10","100","5460","35.3","5","332","0","0","-2.9922799999651035"
"90","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.2","10","100","5460","36.230000000000004","10","359","0","0","-106.3448799999649"
"92","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.3","10","0","5460","32.86","0","344","0","0","-139.39767999997713"
"94","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.3","10","0","5460","37.36","0","346","0","0","-48.20825999999215"
"93","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.3","10","0","5460","36.79","0","350","0","0","-47.30681999997396"
"96","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.3","10","20","5460","36.4","0","329","0","0","-129.1500599999854"
"91","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.3","10","0","5460","37.08","0","359","0","0","-152.58123999998278"
"95","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.3","10","0","5460","35.11","0","346","0","0","10.973780000046826"
"97","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.3","10","20","5460","35.13","0","352","0","0","-22.98045999994938"
"98","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.3","10","20","5460","37.88","0","367","0","0","-65.18537999998588"
"100","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.3","10","20","5460","37.11","0","369","0","0","-38.4989999999656"
"102","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.3","10","40","5460","37.05","0","356","0","0","-15.956739999966521"
"99","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.3","10","20","5460","35.03","0","354","0","0","44.19560000002821"
"101","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.3","10","40","5460","36.29","0","360","0","0","-88.96085999998759"
"104","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.3","10","40","5460","35.92","0","350","0","0","-208.827339999978"
"103","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.3","10","40","5460","34.8","0","331","0","0","-91.32087999997457"
"105","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.3","10","40","5460","35.69","1","353","0","0","-124.0293799999752"
"106","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.3","10","60","5460","36.28","0","339","0","0","67.92100000003339"
"109","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.3","10","60","5460","34.88","0","347","0","0","-63.47013999995179"
"107","7","9","5","60","true","true","80","3","1","0.31","false","10","25","false","0.3","10","60","5460","35.260000000000005","0","350","0","0","-152.66887999996834"
