"BehaviorSpace results (NetLogo 6.2.2)"
"M0poursimu.nlogo"
"calibration-surveillant"
"08/01/2022 10:09:37:146 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","nb-surveillants","engagés-initiaux","coordination-RNA","nombre-bergers","proba-discu","S-pop","RNA","proba-denonce","nb-champs-visités","fréquence-réu","q-présence-brousse","nb-proTG-max","nb-coupeurs","S-repreZ","tps-au-champ","participants","malus-nb-chps","[step]","%-under-tree","coupeurs-attrapes","nb-arbres","MoyN-interet-RNA","nb-engages","delta-mil"
"3","1","9","true","5","60","false","true","80","1","1","0.31","25","10","true","50","10","0.01","5460","33.82","48","330","1.5651162790697404","0","-142.59653999997244"
"5","1","9","true","5","60","false","true","80","1","1","0.31","25","10","true","50","10","0.01","5460","37.34","93","375","8.466666666666459","6","-65.57349999997169"
"4","1","9","true","5","60","false","true","80","1","1","0.31","25","10","true","50","10","0.01","5460","37.44","11","347","0.7295454545454357","0","-159.3169999999831"
"7","1","9","true","5","60","false","true","80","1","1","0.31","25","10","true","50","10","0.11","5460","37.04","102","339","14.82666666666736","9","-0.3255199999839533"
"1","1","9","true","5","60","false","true","80","1","1","0.31","25","10","true","50","10","0.01","5460","35.25","19","336","1.1681818181818011","0","-105.60619999998525"
"2","1","9","true","5","60","false","true","80","1","1","0.31","25","10","true","50","10","0.01","5460","37.230000000000004","8","353","1.1891304347825922","0","-10.804759999960515"
"8","1","9","true","5","60","false","true","80","1","1","0.31","25","10","true","50","10","0.11","5460","37.3","31","357","1.6191489361701847","0","-89.02971999998044"
"6","1","9","true","5","60","false","true","80","1","1","0.31","25","10","true","50","10","0.11","5460","36.059999999999995","56","354","13.3155555555557","5","-18.498299999985466"
"11","1","9","true","5","60","false","true","80","1","1","0.31","25","10","true","50","10","0.21","5460","35.58","58","336","6.815909090908877","4","-151.0287599999603"
"10","1","9","true","5","60","false","true","80","1","1","0.31","25","10","true","50","10","0.11","5460","34.39","49","335","0.9422222222221858","0","-119.5284399999633"
"9","1","9","true","5","60","false","true","80","1","1","0.31","25","10","true","50","10","0.11","5460","35.18","20","340","1.2608695652173731","0","-42.61181999997643"
"15","1","9","true","5","60","false","true","80","1","1","0.31","25","10","true","50","10","0.21","5460","38.32","95","353","8.76179775280899","6","-31.631779999967694"
"14","1","9","true","5","60","false","true","80","1","1","0.31","25","10","true","50","10","0.21","5460","36.17","25","339","1.1086956521738929","0","29.428260000023148"
"12","1","9","true","5","60","false","true","80","1","1","0.31","25","10","true","50","10","0.21","5460","38.04","101","355","21.516483516484037","5","-144.14901999997747"
"16","1","9","true","5","60","false","true","80","1","1","0.31","25","10","true","50","10","0.31","5460","37.55","89","369","8.137634408601725","9","-27.005639999971027"
"13","1","9","true","5","60","false","true","80","1","1","0.31","25","10","true","50","10","0.21","5460","34.55","68","341","8.825000000000172","4","-236.55913999999103"
"18","1","9","true","5","60","false","true","80","1","1","0.31","25","10","true","50","10","0.31","5460","37.99","72","376","10.760869565217627","7","-76.76011999998809"
"19","1","9","true","5","60","false","true","80","1","1","0.31","25","10","true","50","10","0.31","5460","35.74","107","350","14.928260869565525","4","-133.02499999996218"
"17","1","9","true","5","60","false","true","80","1","1","0.31","25","10","true","50","10","0.31","5460","37.18","72","339","10.835164835164546","9","11.512140000014915"
"22","1","9","true","5","60","false","true","80","1","1","0.31","25","10","true","50","10","0.41","5460","36.27","17","330","0.5340659340659164","0","-194.6108799999747"
"21","1","9","true","5","60","false","true","80","1","1","0.31","25","10","true","50","10","0.41","5460","36.720000000000006","19","348","1.1456521739130185","0","-174.62895999998727"
"20","1","9","true","5","60","false","true","80","1","1","0.31","25","10","true","50","10","0.31","5460","35.24","89","346","10.538461538461966","7","-236.9159599999861"
"23","1","9","true","5","60","false","true","80","1","1","0.31","25","10","true","50","10","0.41","5460","35.04","42","343","0.6108695652173727","0","-68.35293999996502"
"24","1","9","true","5","60","false","true","80","1","1","0.31","25","10","true","50","10","0.41","5460","34.97","90","353","14.868750000000235","7","0.26918000004443454"
"25","1","9","true","5","60","false","true","80","1","1","0.31","25","10","true","50","10","0.41","5460","35.58","20","345","1.197752808988745","0","-48.69653999996153"
"26","1","9","true","5","60","false","true","80","1","1","0.31","25","10","true","50","10","0.51","5460","37.769999999999996","12","352","1.2137931034482605","0","76.30314000002981"
"29","1","9","true","5","60","false","true","80","1","1","0.31","25","10","true","50","10","0.51","5460","37.07","83","355","13.582795698924805","10","-168.92609999996495"
"28","1","9","true","5","60","false","true","80","1","1","0.31","25","10","true","50","10","0.51","5460","36.44","89","343","11.662365591398151","6","-85.07339999997639"
"27","1","9","true","5","60","false","true","80","1","1","0.31","25","10","true","50","10","0.51","5460","36.78","26","362","0.8148936170212608","0","-82.92621999999247"
"30","1","9","true","5","60","false","true","80","1","1","0.31","25","10","true","50","10","0.51","5460","35.67","25","338","0.899999999999982","0","75.85242000003709"
"32","1","9","true","5","60","false","true","80","6","1","0.31","25","10","true","50","10","0.01","5460","37.5","149","391","45.00000000000086","33","14.930100000025414"
"31","1","9","true","5","60","false","true","80","6","1","0.31","25","10","true","50","10","0.01","5460","41.57","150","508","89.24301075269173","69","-36.79628000001539"
"33","1","9","true","5","60","false","true","80","6","1","0.31","25","10","true","50","10","0.01","5460","43.419999999999995","150","547","69.27608695652552","71","-4.306880000026285"
"34","1","9","true","5","60","false","true","80","6","1","0.31","25","10","true","50","10","0.01","5460","35.21","59","349","1.3085106382978384","0","-170.38467999996791"
"36","1","9","true","5","60","false","true","80","6","1","0.31","25","10","true","50","10","0.11","5460","38.41","150","384","59.909473684214355","50","-31.012039999970874"
"35","1","9","true","5","60","false","true","80","6","1","0.31","25","10","true","50","10","0.01","5460","41.91","123","438","86.57684210526656","75","-5.264660000009462"
"39","1","9","true","5","60","false","true","80","6","1","0.31","25","10","true","50","10","0.11","5460","35.14","62","351","1.3550561797752614","0","-2.7481399999589486"
"37","1","9","true","5","60","false","true","80","6","1","0.31","25","10","true","50","10","0.11","5460","36.54","149","386","53.43829787234335","43","-152.40595999998624"
"38","1","9","true","5","60","false","true","80","6","1","0.31","25","10","true","50","10","0.11","5460","42.480000000000004","142","540","83.51910112359843","60","15.944219999989581"
"40","1","9","true","5","60","false","true","80","6","1","0.31","25","10","true","50","10","0.11","5460","36.58","55","366","1.4956521739130202","0","-67.26369999997405"
"42","1","9","true","5","60","false","true","80","6","1","0.31","25","10","true","50","10","0.21","5460","35.11","87","346","1.78823529411762","0","-80.7602599999569"
"41","1","9","true","5","60","false","true","80","6","1","0.31","25","10","true","50","10","0.21","5460","34.910000000000004","69","352","1.8488888888888555","0","-252.96033999995052"
"44","1","9","true","5","60","false","true","80","6","1","0.31","25","10","true","50","10","0.21","5460","39.51","148","426","64.43333333333462","61","-76.66621999997588"
"43","1","9","true","5","60","false","true","80","6","1","0.31","25","10","true","50","10","0.21","5460","38.58","150","407","68.9933333333364","53","-143.98625999996366"
"47","1","9","true","5","60","false","true","80","6","1","0.31","25","10","true","50","10","0.31","5460","35.79","60","348","1.5022222222221981","0","-215.25636000000304"
"46","1","9","true","5","60","false","true","80","6","1","0.31","25","10","true","50","10","0.31","5460","37.55","130","417","52.02795698924809","52","-84.7729199999616"
"45","1","9","true","5","60","false","true","80","6","1","0.31","25","10","true","50","10","0.21","5460","41.949999999999996","149","474","67.4291666666696","59","-62.22440000000351"
"48","1","9","true","5","60","false","true","80","6","1","0.31","25","10","true","50","10","0.31","5460","35.89","132","349","33.256842105263885","20","47.60104000004649"
"49","1","9","true","5","60","false","true","80","6","1","0.31","25","10","true","50","10","0.31","5460","35.370000000000005","48","336","1.0853932584269494","0","-44.92801999996154"
"50","1","9","true","5","60","false","true","80","6","1","0.31","25","10","true","50","10","0.31","5460","37.4","130","370","49.233333333334265","31","-137.60105999996668"
"51","1","9","true","5","60","false","true","80","6","1","0.31","25","10","true","50","10","0.41","5460","36.059999999999995","126","340","22.78478260869594","20","-124.46131999997087"
"52","1","9","true","5","60","false","true","80","6","1","0.31","25","10","true","50","10","0.41","5460","36.36","125","347","14.917391304347728","11","-89.08605999997162"
"54","1","9","true","5","60","false","true","80","6","1","0.31","25","10","true","50","10","0.41","5460","37.51","125","372","36.70888888888929","29","-42.01711999997715"
"53","1","9","true","5","60","false","true","80","6","1","0.31","25","10","true","50","10","0.41","5460","37.5","112","360","12.508695652173785","5","-53.35397999999259"
"55","1","9","true","5","60","false","true","80","6","1","0.31","25","10","true","50","10","0.41","5460","35.91","137","341","19.755789473684146","13","-48.55255999998117"
"56","1","9","true","5","60","false","true","80","6","1","0.31","25","10","true","50","10","0.51","5460","37.43","109","359","7.2731182795698714","7","-72.64729999996052"
"57","1","9","true","5","60","false","true","80","6","1","0.31","25","10","true","50","10","0.51","5460","37.03","109","349","23.728888888889333","16","-20.632959999967717"
"58","1","9","true","5","60","false","true","80","6","1","0.31","25","10","true","50","10","0.51","5460","36.65","115","360","24.268085106383186","8","-133.23157999998222"
"59","1","9","true","5","60","false","true","80","6","1","0.31","25","10","true","50","10","0.51","5460","35.949999999999996","23","350","1.0791666666666353","0","17.13988000001409"
