"BehaviorSpace results (NetLogo 6.2.2)"
"M0poursimu.nlogo"
"calibration-surveillance-déléguée"
"08/03/2022 09:29:14:545 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","nb-surveillants","coordination-RNA","engagés-initiaux","nombre-bergers","proba-discu","S-pop","RNA","proba-denonce","fréquence-réu","q-présence-brousse","S-repreZ","nb-coupeurs","nb-proTG-max","malus-nb-chps","tps-au-champ","participants","[step]","coupeurs-attrapes","nb-arbres","nb-engages","nb-coupe"
"6","1","false","9","5","40","false","true","80","1","0.2","true","10","25","0.1","50","10","5460","89","347","0","209"
"7","1","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","5460","41","352","0","222"
"3","1","false","9","5","40","false","true","80","1","0.2","true","10","25","0.1","50","10","5460","55","355","0","160"
"2","1","false","9","5","40","false","true","80","1","0.2","true","10","25","0.1","50","10","5460","50","365","0","194"
"5","1","false","9","5","40","false","true","80","1","0.2","true","10","25","0.1","50","10","5460","55","357","0","217"
"4","1","false","9","5","40","false","true","80","1","0.2","true","10","25","0.1","50","10","5460","60","361","0","185"
"8","1","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","5460","33","340","0","172"
"1","1","false","9","5","40","false","true","80","1","0.2","true","10","25","0.1","50","10","5460","72","343","0","195"
"9","1","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","5460","16","342","0","155"
"12","1","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","5460","30","336","0","209"
"11","1","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","5460","44","351","0","192"
"10","1","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","5460","17","340","0","158"
"13","1","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","5460","19","336","0","180"
"14","1","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","5460","17","353","0","175"
"15","1","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","5460","21","349","0","173"
"16","1","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","5460","19","354","0","155"
"17","1","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","5460","10","330","0","186"
"20","1","false","9","5","40","false","true","80","1","0.2","true","10","25","0.4","50","10","5460","18","361","0","162"
"18","1","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","5460","26","355","0","172"
"19","1","false","9","5","40","false","true","80","1","0.2","true","10","25","0.4","50","10","5460","25","349","0","275"
"21","1","false","9","5","40","false","true","80","1","0.2","true","10","25","0.4","50","10","5460","16","341","0","133"
"23","1","false","9","5","40","false","true","80","1","0.2","true","10","25","0.4","50","10","5460","12","359","0","150"
"24","1","false","9","5","40","false","true","80","1","0.2","true","10","25","0.4","50","10","5460","12","346","0","168"
"22","1","false","9","5","40","false","true","80","1","0.2","true","10","25","0.4","50","10","5460","17","348","0","150"
"25","1","false","9","5","40","false","true","80","1","0.2","true","10","25","0.5","50","10","5460","14","339","0","151"
"26","1","false","9","5","40","false","true","80","1","0.2","true","10","25","0.5","50","10","5460","11","351","0","229"
"27","1","false","9","5","40","false","true","80","1","0.2","true","10","25","0.5","50","10","5460","17","337","0","174"
"28","1","false","9","5","40","false","true","80","1","0.2","true","10","25","0.5","50","10","5460","12","346","0","154"
"32","1","false","9","5","40","false","true","80","1","0.2","true","10","25","0.6","50","10","5460","3","347","0","150"
"29","1","false","9","5","40","false","true","80","1","0.2","true","10","25","0.5","50","10","5460","14","345","0","173"
"31","1","false","9","5","40","false","true","80","1","0.2","true","10","25","0.6","50","10","5460","7","347","0","155"
"30","1","false","9","5","40","false","true","80","1","0.2","true","10","25","0.5","50","10","5460","16","353","0","183"
"33","1","false","9","5","40","false","true","80","1","0.2","true","10","25","0.6","50","10","5460","9","321","0","191"
"34","1","false","9","5","40","false","true","80","1","0.2","true","10","25","0.6","50","10","5460","11","343","0","213"
"35","1","false","9","5","40","false","true","80","1","0.2","true","10","25","0.6","50","10","5460","9","347","0","164"
"36","1","false","9","5","40","false","true","80","1","0.2","true","10","25","0.6","50","10","5460","2","349","0","154"
"37","3","false","9","5","40","false","true","80","1","0.2","true","10","25","0.1","50","10","5460","152","540","90","80"
"40","3","false","9","5","40","false","true","80","1","0.2","true","10","25","0.1","50","10","5460","151","502","82","94"
"38","3","false","9","5","40","false","true","80","1","0.2","true","10","25","0.1","50","10","5460","150","386","61","112"
"39","3","false","9","5","40","false","true","80","1","0.2","true","10","25","0.1","50","10","5460","150","414","76","138"
"41","3","false","9","5","40","false","true","80","1","0.2","true","10","25","0.1","50","10","5460","150","476","86","93"
"43","3","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","5460","87","328","0","153"
"42","3","false","9","5","40","false","true","80","1","0.2","true","10","25","0.1","50","10","5460","150","417","49","127"
"47","3","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","5460","150","412","58","199"
"45","3","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","5460","96","363","0","164"
"46","3","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","5460","88","331","0","143"
"44","3","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","5460","139","365","10","310"
"48","3","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","5460","88","355","0","184"
"49","3","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","5460","87","342","0","224"
"50","3","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","5460","42","340","0","122"
"52","3","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","5460","77","343","0","186"
"53","3","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","5460","58","355","0","165"
"54","3","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","5460","55","344","0","193"
"51","3","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","5460","50","344","0","179"
"55","3","false","9","5","40","false","true","80","1","0.2","true","10","25","0.4","50","10","5460","73","329","0","231"
"56","3","false","9","5","40","false","true","80","1","0.2","true","10","25","0.4","50","10","5460","37","365","0","197"
"57","3","false","9","5","40","false","true","80","1","0.2","true","10","25","0.4","50","10","5460","19","354","0","139"
"58","3","false","9","5","40","false","true","80","1","0.2","true","10","25","0.4","50","10","5460","43","345","0","183"
"60","3","false","9","5","40","false","true","80","1","0.2","true","10","25","0.4","50","10","5460","32","365","0","177"
"59","3","false","9","5","40","false","true","80","1","0.2","true","10","25","0.4","50","10","5460","30","348","0","174"
"62","3","false","9","5","40","false","true","80","1","0.2","true","10","25","0.5","50","10","5460","43","339","0","206"
"61","3","false","9","5","40","false","true","80","1","0.2","true","10","25","0.5","50","10","5460","44","365","0","180"
"63","3","false","9","5","40","false","true","80","1","0.2","true","10","25","0.5","50","10","5460","48","337","0","177"
"64","3","false","9","5","40","false","true","80","1","0.2","true","10","25","0.5","50","10","5460","28","349","2","215"
"65","3","false","9","5","40","false","true","80","1","0.2","true","10","25","0.5","50","10","5460","36","347","0","168"
"66","3","false","9","5","40","false","true","80","1","0.2","true","10","25","0.5","50","10","5460","55","326","0","262"
"67","3","false","9","5","40","false","true","80","1","0.2","true","10","25","0.6","50","10","5460","50","347","4","248"
"68","3","false","9","5","40","false","true","80","1","0.2","true","10","25","0.6","50","10","5460","43","359","0","178"
"70","3","false","9","5","40","false","true","80","1","0.2","true","10","25","0.6","50","10","5460","32","361","0","211"
"69","3","false","9","5","40","false","true","80","1","0.2","true","10","25","0.6","50","10","5460","27","340","0","136"
"71","3","false","9","5","40","false","true","80","1","0.2","true","10","25","0.6","50","10","5460","35","357","0","216"
"72","3","false","9","5","40","false","true","80","1","0.2","true","10","25","0.6","50","10","5460","16","333","0","136"
"74","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.1","50","10","5460","158","590","93","34"
"73","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.1","50","10","5460","156","581","88","26"
"76","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.1","50","10","5460","156","524","70","31"
"75","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.1","50","10","5460","151","503","76","47"
"78","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.1","50","10","5460","154","582","86","32"
"77","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.1","50","10","5460","156","590","87","36"
"79","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","5460","150","479","86","132"
"80","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","5460","150","423","86","150"
"81","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","5460","150","479","76","146"
"82","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","5460","150","440","71","138"
"84","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","5460","150","478","79","138"
"83","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.2","50","10","5460","152","512","88","113"
"85","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","5460","72","356","0","122"
"86","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","5460","149","341","23","197"
"87","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","5460","100","342","0","202"
"88","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","5460","146","379","56","198"
"90","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","5460","134","380","20","217"
"89","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.3","50","10","5460","113","365","0","187"
"92","5","false","9","5","40","false","true","80","1","0.2","true","10","25","0.4","50","10","5460","93","353","0","174"
