"BehaviorSpace results (NetLogo 6.2.2)"
"/home/ummisco/Etienne/real-tree-model-main/M0-tree-model3-régénération_wa_moran.nlogo"
"Exploration1(Surveillance-pop)"
"08/12/2022 13:48:16:386 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","nb-surveillants","engagés-initiaux","coordination-RNA","nombre-bergers","proba-discu","S-reprez","S-pop","proba-denonce","fréquence-réu","q-présence-brousse","nb-proTG-max","nb-coupeurs","participants","tps-au-champ","[step]","%-under-tree","coupeurs-attrapes","age-moy-arb","nb-arbres","init-nb-arbre","delat-Nb-arbres","pouss","pouss-prot","pouss-inter-prot","MoyN-interet-RNA","nb-engages"
"37","6","9","false","5","10","false","true","20","2","0.5","25","10","10","20","8396","27.21","4","91.12345679012346","162","535","-373","235","3","0","9.999999999999897","0"
"69","6","9","false","5","10","false","true","20","2","1","25","10","10","20","8396","24.19","0","92.95689655172414","116","535","-419","101","0","0","8.013043478260764","0"
"9","6","9","false","5","10","false","true","20","2","0.1","25","10","10","20","8396","24.05","0","91.72661870503597","139","535","-396","146","1","0","11.88965517241365","0"
"35","6","9","false","5","10","false","true","20","2","0.5","25","10","10","0","8396","28.42","0","91.93181818181819","220","535","-315","416","1","0","13.351111111110932","1"
"19","6","9","false","5","10","false","true","20","2","0.1","25","10","10","60","8396","23.77","4","92.71641791044776","134","535","-401","180","7","0","8.077272727272652","0"
"44","6","9","false","5","10","false","true","20","2","0.5","25","10","10","40","8396","26.56","0","91.16363636363636","165","535","-370","203","0","0","7.473333333333228","0"
"40","6","9","false","5","10","false","true","20","2","0.5","25","10","10","20","8396","27.71","1","91.62162162162163","185","535","-350","303","2","0","9.534065934065836","0"
"8","6","9","false","5","10","false","true","20","2","0.1","25","10","10","20","8396","25.369999999999997","1","92.47972972972973","148","535","-387","206","3","0","11.628888888888746","2"
"10","6","9","false","5","10","false","true","20","2","0.1","25","10","10","20","8396","24.18","4","91.48031496062993","127","535","-408","141","15","0","10.3933333333332","3"
"21","6","9","false","5","10","false","true","20","2","0.1","25","10","10","80","8396","27.500000000000004","2","91.82758620689656","174","535","-361","248","0","0","7.7304347826085715","1"
"36","6","9","false","5","10","false","true","20","2","0.5","25","10","10","20","8396","24.6","1","91.43356643356644","143","535","-392","182","0","0","10.85869565217377","0"
"30","6","9","false","5","10","false","true","20","2","0.1","25","10","10","100","8396","28.77","0","91.20918367346938","196","535","-339","314","6","0","6.5482352941175765","1"
"46","6","9","false","5","10","false","true","20","2","0.5","25","10","10","60","8396","26.540000000000003","0","91.35757575757576","165","535","-370","198","0","0","6.510112359550491","0"
"72","6","9","false","5","10","false","true","20","2","1","25","10","10","40","8396","21.990000000000002","0","91.35087719298245","114","535","-421","126","1","0","5.476595744680769","1"
"70","6","9","false","5","10","false","true","20","2","1","25","10","10","20","8396","28.389999999999997","0","91.86699507389163","203","535","-332","298","12","0","8.0488888888888","1"
"68","6","9","false","5","10","false","true","20","2","1","25","10","10","20","8396","26.040000000000003","2","91.71034482758621","145","535","-390","202","7","0","8.843010752688055","1"
"32","6","9","false","5","10","false","true","20","2","0.5","25","10","10","0","8396","23.46","4","92.04761904761905","126","535","-409","121","0","0","12.497872340425388","0"
"1","6","9","false","5","10","false","true","20","2","0.1","25","10","10","0","8396","26.119999999999997","0","91.5578231292517","147","535","-388","169","0","0","12.16043956043943","0"
"4","6","9","false","5","10","false","true","20","2","0.1","25","10","10","0","8396","23.369999999999997","0","91.85046728971963","107","535","-428","107","0","0","13.767391304347628","1"
"7","6","9","false","5","10","false","true","20","2","0.1","25","10","10","20","8396","23","0","91.66666666666667","129","535","-406","159","4","0","11.604494382022333","0"
"41","6","9","false","5","10","false","true","20","2","0.5","25","10","10","40","8396","26.840000000000003","4","91.54491017964072","167","535","-368","221","3","0","7.758241758241669","2"
"24","6","9","false","5","10","false","true","20","2","0.1","25","10","10","80","8396","28.96","0","91.61083743842364","203","535","-332","339","0","0","7.107526881720338","0"
"67","6","9","false","5","10","false","true","20","2","1","25","10","10","20","8396","24.9","2","90.98076923076923","156","535","-379","202","6","0","8.515217391304255","0"
"43","6","9","false","5","10","false","true","20","2","0.5","25","10","10","40","8396","24.529999999999998","3","92.11242603550296","169","535","-366","224","1","0","7.41086956521729","1"
"5","6","9","false","5","10","false","true","20","2","0.1","25","10","10","0","8396","26.56","0","91.32446808510639","188","535","-347","305","0","0","13.679999999999824","0"
"33","6","9","false","5","10","false","true","20","2","0.5","25","10","10","0","8396","26.55","0","91.31137724550898","167","535","-368","265","3","0","11.679569892473008","1"
