"BehaviorSpace results (NetLogo 6.2.2)"
"/home/ummisco/Etienne/real-tree-model-main/M0-tree-model3-régénération_wa_moran.nlogo"
"Exploration2(Surveillance-déléguée)"
"08/13/2022 21:36:40:118 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","nb-surveillants","engagés-initiaux","coordination-RNA","nombre-bergers","proba-discu","S-reprez","S-pop","proba-denonce","fréquence-réu","q-présence-brousse","nb-proTG-max","nb-coupeurs","participants","tps-au-champ","[step]","%-under-tree","coupeurs-attrapes","age-moy-arb","nb-arbres","init-nb-arbre","delat-Nb-arbres","pouss","pouss-prot","pouss-inter-prot","MoyN-interet-RNA","nb-engages"
"57","1","9","false","5","10","true","false","80","8","0.1","25","10","10","10","8396","28.28","172","90.02439024390245","205","535","-330","465","199","17","48.91494252873524","36"
"26","1","9","false","5","10","true","false","80","2","0.1","25","10","10","80","8396","27.400000000000002","26","91.34375","192","535","-343","306","0","0","8.893023255813826","1"
"16","1","9","false","5","10","true","false","80","2","0.1","25","10","10","10","8396","24.46","11","91.64625850340136","147","535","-388","184","4","0","11.702272727272574","2"
"1","1","9","false","5","10","true","false","80","2","0.1","25","10","10","10","8396","29.959999999999997","6","90.96244131455398","213","535","-322","398","5","0","11.319999999999908","0"
"68","1","9","false","5","10","true","false","80","8","0.1","25","10","10","80","8396","27.810000000000002","174","91.37755102040816","196","535","-339","354","106","1","35.426966292134395","14"
"30","1","9","false","5","10","true","false","80","2","0.1","25","10","10","80","8396","27.37","31","91.64912280701755","171","535","-364","226","2","0","7.013953488372007","1"
"7","1","9","false","5","10","true","false","80","2","0.1","25","10","10","10","8396","26.619999999999997","10","91.05479452054794","146","535","-389","221","0","0","12.121348314606605","1"
"42","1","9","false","5","10","true","false","80","8","0.1","25","10","10","10","8396","23.74","162","91.3821138211382","123","535","-412","258","135","13","46.376086956521384","35"
"19","1","9","false","5","10","true","false","80","2","0.1","25","10","10","10","8396","28.57","14","91.17934782608695","184","535","-351","288","0","0","12.622988505746973","0"
"52","1","9","false","5","10","true","false","80","8","0.1","25","10","10","10","8396","24.07","142","91.67669172932331","133","535","-402","227","121","0","48.978260869564735","38"
"3","1","9","false","5","10","true","false","80","2","0.1","25","10","10","10","8396","29.95","13","91.8388625592417","211","535","-324","414","2","0","11.298901098900975","1"
"44","1","9","false","5","10","true","false","80","8","0.1","25","10","10","10","8396","28.970000000000002","172","91.22994652406418","187","535","-348","356","146","2","48.09438202247144","35"
"8","1","9","false","5","10","true","false","80","2","0.1","25","10","10","10","8396","27.700000000000003","5","91.42780748663101","187","535","-348","280","1","0","11.423913043478079","3"
"9","1","9","false","5","10","true","false","80","2","0.1","25","10","10","10","8396","26.93","10","91.45962732919254","161","535","-374","189","7","0","12.8459770114941","1"
"38","1","9","false","5","10","true","false","80","2","0.1","25","10","10","80","8396","30.099999999999998","23","91.14427860696517","201","535","-334","305","5","0","8.330434782608581","1"
"56","1","9","false","5","10","true","false","80","8","0.1","25","10","10","10","8396","25.590000000000003","172","91.1923076923077","156","535","-379","305","155","3","48.432967032966566","40"
"43","1","9","false","5","10","true","false","80","8","0.1","25","10","10","10","8396","25.929999999999996","183","91.87417218543047","151","535","-384","286","150","19","48.7736263736259","37"
"51","1","9","false","5","10","true","false","80","8","0.1","25","10","10","10","8396","25.05","146","90.55555555555556","144","535","-391","282","135","1","46.864444444444075","38"
"21","1","9","false","5","10","true","false","80","2","0.1","25","10","10","80","8396","25.759999999999998","25","91.38125","160","535","-375","276","7","0","8.061538461538357","1"
"53","1","9","false","5","10","true","false","80","8","0.1","25","10","10","10","8396","26.08","141","91.79354838709678","155","535","-380","300","129","14","43.695555555555224","32"
"41","1","9","false","5","10","true","false","80","8","0.1","25","10","10","10","8396","27.73","159","91.25433526011561","173","535","-362","301","172","13","47.7782608695648","45"
"13","1","9","false","5","10","true","false","80","2","0.1","25","10","10","10","8396","26.35","24","91.46739130434783","184","535","-351","275","2","0","12.520454545454378","2"
"20","1","9","false","5","10","true","false","80","2","0.1","25","10","10","10","8396","28.51","16","92.22404371584699","183","535","-352","297","2","0","11.671578947368294","1"
"45","1","9","false","5","10","true","false","80","8","0.1","25","10","10","10","8396","24.52","133","91.35211267605634","142","535","-393","230","112","0","50.895555555555084","37"
"46","1","9","false","5","10","true","false","80","8","0.1","25","10","10","10","8396","27.21","162","90.73809523809524","168","535","-367","323","133","0","50.75384615384565","38"
"40","1","9","false","5","10","true","false","80","2","0.1","25","10","10","80","8396","26.979999999999997","25","91.60752688172043","186","535","-349","279","3","0","7.732608695652084","0"
"49","1","9","false","5","10","true","false","80","8","0.1","25","10","10","10","8396","29.01","182","91.64646464646465","198","535","-337","537","307","122","51.05393258426914","43"
"66","1","9","false","5","10","true","false","80","8","0.1","25","10","10","80","8396","29.330000000000002","177","92.30348258706468","201","535","-334","424","153","12","33.74606741572991","15"
"5","1","9","false","5","10","true","false","80","2","0.1","25","10","10","10","8396","28.110000000000003","12","91.90243902439025","205","535","-330","371","1","0","11.699999999999857","0"
"11","1","9","false","5","10","true","false","80","2","0.1","25","10","10","10","8396","28.48","8","92.08196721311475","183","535","-352","271","2","0","10.376086956521634","0"
"27","1","9","false","5","10","true","false","80","2","0.1","25","10","10","80","8396","29.720000000000002","21","91.28643216080403","199","535","-336","326","4","0","9.84494382022456","1"
"12","1","9","false","5","10","true","false","80","2","0.1","25","10","10","10","8396","26.729999999999997","15","91.33333333333333","165","535","-370","227","1","0","12.087640449438092","0"
"10","1","9","false","5","10","true","false","80","2","0.1","25","10","10","10","8396","26.61","20","90.93023255813954","172","535","-363","233","4","0","11.591752577319458","0"
"33","1","9","false","5","10","true","false","80","2","0.1","25","10","10","80","8396","29.29","29","91.74866310160428","187","535","-348","333","8","0","9.28089887640437","1"
"62","1","9","false","5","10","true","false","80","8","0.1","25","10","10","80","8396","28.29","206","72.15979381443299","194","535","-341","808","627","362","52.97752808988751","48"
"2","1","9","false","5","10","true","false","80","2","0.1","25","10","10","10","8396","26.810000000000002","14","91.15675675675676","185","535","-350","289","0","0","11.80439560439546","0"
"14","1","9","false","5","10","true","false","80","2","0.1","25","10","10","10","8396","26.63","11","90.46625766871166","163","535","-372","260","2","0","12.311827956989115","0"
"70","1","9","false","5","10","true","false","80","8","0.1","25","10","10","80","8396","25.069999999999997","187","91.62790697674419","172","535","-363","313","117","1","36.02340425531876","13"
"69","1","9","false","5","10","true","false","80","8","0.1","25","10","10","80","8396","27.279999999999998","179","91.75581395348837","172","535","-363","291","150","7","34.58888888888839","20"
"17","1","9","false","5","10","true","false","80","2","0.1","25","10","10","10","8396","24.81","24","91.22297297297297","148","535","-387","202","9","2","11.108695652173795","1"
"60","1","9","false","5","10","true","false","80","8","0.1","25","10","10","10","8396","26.400000000000002","170","91.54088050314465","159","535","-376","327","129","4","49.58526315789426","34"
"29","1","9","false","5","10","true","false","80","2","0.1","25","10","10","80","8396","25.3","31","91.11392405063292","158","535","-377","213","7","0","6.6909090909090105","0"
"58","1","9","false","5","10","true","false","80","8","0.1","25","10","10","10","8396","29.68","144","90.99056603773585","212","535","-323","497","168","0","49.90212765957401","40"
"18","1","9","false","5","10","true","false","80","2","0.1","25","10","10","10","8396","28.92","19","91.41626794258373","209","535","-326","332","3","0","11.891489361701954","1"
"67","1","9","false","5","10","true","false","80","8","0.1","25","10","10","80","8396","28.37","159","91.58659217877096","179","535","-356","304","134","6","31.406382978723023","13"
"22","1","9","false","5","10","true","false","80","2","0.1","25","10","10","80","8396","27.16","27","91.45614035087719","171","535","-364","235","1","0","7.2725274725274005","0"
"63","1","9","false","5","10","true","false","80","8","0.1","25","10","10","80","8396","29.330000000000002","159","91.7136563876652","227","535","-308","558","211","47","32.85054945054895","16"
"47","1","9","false","5","10","true","false","80","8","0.1","25","10","10","10","8396","29.26","155","92","201","535","-334","392","148","5","46.3472527472523","38"
"24","1","9","false","5","10","true","false","80","2","0.1","25","10","10","80","8396","27.01","21","91.3","180","535","-355","260","10","0","8.118681318681222","0"
"65","1","9","false","5","10","true","false","80","8","0.1","25","10","10","80","8396","28.050000000000004","158","91.12790697674419","172","535","-363","346","154","1","34.91648351648309","14"
"39","1","9","false","5","10","true","false","80","2","0.1","25","10","10","80","8396","29.439999999999998","23","90.76530612244898","196","535","-339","294","0","0","8.714285714285595","1"
