evolution$generation,evolution$evaluated,tpsAuChamp,qPrésenceBrousse,fréquenceRéu,participants,probaDiscu,probaDenonce,objective$om_delatMil,objective$om_trees,evolution$samples,qPrésenceBrousse,om_underTrees,tpsAuChamp,participants,fréquenceRéu,nombreBergers,probaDiscu,SRepreZ,om_nbCoupe,mySeed,om_delatMil,SPop,om_charette,om_stockMil,coordination,nbSurveillants,nbProTGMax,om_trees,om_ticks,engagésInitiaux,probaDenonce,RNA,nbChampsVisités,om_delatArbres,nbCoupeurs,om_caughtCutter
100,376,80.0,0.3637775005880135,1.0,11.862956331334987,20.0,80.0,-237.74088888888878,103.0,1,"[0.3637775005880135]","[22.2]","[80.0]","[11.862956331334987]","[1.0]","[5.0]","[20.0]","[false]","[1071.0]","[-1464764971]","[-237.74088888888878]","[true]","[49.0]","[43104.35679999844]","[false]","[8.0]","[35.0]","[103.0]","[8396.0]","[40.0]","[80.0]","[true]","[5.0]","[-432.0]","[10.0]","[12.0]"
100,376,71.5007797052873,0.7097339586409528,2.8732289630621004,9.830760023990855,22.065082857598455,50.69950445349473,-1118.2757446808512,112.0,1,"[0.7097339586409528]","[22.17]","[71.5007797052873]","[9.830760023990855]","[2.8732289630621004]","[5.0]","[22.065082857598455]","[false]","[1454.0]","[-710497856]","[-1118.2757446808512]","[true]","[58.0]","[42746.785599998366]","[false]","[8.0]","[35.0]","[112.0]","[8396.0]","[40.0]","[50.69950445349473]","[true]","[5.0]","[-423.0]","[10.0]","[44.0]"
100,376,57.22462422373949,0.5775403282756104,3.34014895642178,5.158571539467417,55.3938901997451,31.115943242069832,-117.548888888889,183.0,3,"[0.5775403282756104,0.5775403282756104,0.5775403282756104]","[27.700000000000003,25.119999999999997,28.24]","[57.22462422373949,57.22462422373949,57.22462422373949]","[5.158571539467417,5.158571539467417,5.158571539467417]","[3.34014895642178,3.34014895642178,3.34014895642178]","[5.0,5.0,5.0]","[55.3938901997451,55.3938901997451,55.3938901997451]","[false,false,false]","[1589.0,1740.0,1610.0]","[1238209000,214415381,-278686531]","[-284.34311111111117,-117.548888888889,-7.325531914893759]","[true,true,true]","[46.0,53.0,49.0]","[42604.30799999809,42698.70879999824,43471.192799998156]","[false,false,false]","[8.0,8.0,8.0]","[35.0,35.0,35.0]","[206.0,169.0,183.0]","[8396.0,8396.0,8396.0]","[40.0,40.0,40.0]","[31.115943242069832,31.115943242069832,31.115943242069832]","[true,true,true]","[5.0,5.0,5.0]","[-329.0,-366.0,-352.0]","[10.0,10.0,10.0]","[37.0,60.0,75.0]"
100,376,22.256301873571253,0.27732691671261667,1.0112699405597976,22.775406818950817,54.58501635714727,21.201632977341617,-1146.897894736842,222.0,3,"[0.27732691671261667,0.27732691671261667,0.27732691671261667]","[26.77,30.020000000000003,30.55]","[22.256301873571253,22.256301873571253,22.256301873571253]","[22.775406818950817,22.775406818950817,22.775406818950817]","[1.0112699405597976,1.0112699405597976,1.0112699405597976]","[5.0,5.0,5.0]","[54.58501635714727,54.58501635714727,54.58501635714727]","[false,false,false]","[2314.0,1885.0,2240.0]","[-1731353365,2122642639,-1608706183]","[-826.8179545454545,-1146.897894736842,-1179.384]","[true,true,true]","[50.0,52.0,43.0]","[43258.352799998436,43653.2335999983,42809.38559999806]","[false,false,false]","[8.0,8.0,8.0]","[35.0,35.0,35.0]","[189.0,222.0,228.0]","[8396.0,8396.0,8396.0]","[40.0,40.0,40.0]","[21.201632977341617,21.201632977341617,21.201632977341617]","[true,true,true]","[5.0,5.0,5.0]","[-346.0,-313.0,-307.0]","[10.0,10.0,10.0]","[132.0,165.0,119.0]"
100,376,55.56027677987573,0.5325538004186177,3.256083243154973,18.169774568776134,38.82371535791083,34.10813939906511,-483.81808510638274,193.0,3,"[0.5325538004186177,0.5325538004186177,0.5325538004186177]","[27.82,28.63,28.139999999999997]","[55.56027677987573,55.56027677987573,55.56027677987573]","[18.169774568776134,18.169774568776134,18.169774568776134]","[3.256083243154973,3.256083243154973,3.256083243154973]","[5.0,5.0,5.0]","[38.82371535791083,38.82371535791083,38.82371535791083]","[false,false,false]","[2646.0,2565.0,2355.0]","[30744835,-1457528228,1195685706]","[-1160.4815217391306,145.9061538461537,-483.81808510638274]","[true,true,true]","[53.0,46.0,51.0]","[42982.411999998236,42718.740799998115,42689.19359999815]","[false,false,false]","[8.0,8.0,8.0]","[35.0,35.0,35.0]","[177.0,205.0,193.0]","[8396.0,8396.0,8396.0]","[40.0,40.0,40.0]","[34.10813939906511,34.10813939906511,34.10813939906511]","[true,true,true]","[5.0,5.0,5.0]","[-358.0,-330.0,-342.0]","[10.0,10.0,10.0]","[152.0,166.0,157.0]"
100,376,38.215866974797486,0.6156822696113733,1.8713630183499124,21.37009067362324,22.361314841353135,38.545947209702405,-1156.6932584269662,124.0,1,"[0.6156822696113733]","[24.29]","[38.215866974797486]","[21.37009067362324]","[1.8713630183499124]","[5.0]","[22.361314841353135]","[false]","[2146.0]","[-566781657]","[-1156.6932584269662]","[true]","[57.0]","[43527.53279999841]","[false]","[8.0]","[35.0]","[124.0]","[8396.0]","[40.0]","[38.545947209702405]","[true]","[5.0]","[-411.0]","[10.0]","[104.0]"
100,376,20.0,0.2,3.34014895642178,5.158571539467417,24.656741199525516,20.0,-912.8831546165119,150.0,2,"[0.2,0.2]","[24.94,23.400000000000002]","[20.0,20.0]","[5.158571539467417,5.158571539467417]","[3.34014895642178,3.34014895642178]","[5.0,5.0]","[24.656741199525516,24.656741199525516]","[false,false]","[1128.0,1119.0]","[-57231659,-1687876528]","[-683.6328260869566,-1142.1334831460672]","[true,true]","[51.0,55.0]","[42625.59199999815,42929.3271999984]","[false,false]","[8.0,8.0]","[35.0,35.0]","[157.0,143.0]","[8396.0,8396.0]","[40.0,40.0]","[20.0,20.0]","[true,true]","[5.0,5.0]","[-378.0,-392.0]","[10.0,10.0]","[21.0,12.0]"
100,376,33.76530714688591,0.2643034522585546,2.6319851273656587,9.445218840628606,21.55682086735597,21.00677654180243,-1128.1489338061465,176.0,2,"[0.2643034522585546,0.2643034522585546]","[29.080000000000002,27.99]","[33.76530714688591,33.76530714688591]","[9.445218840628606,9.445218840628606]","[2.6319851273656587,2.6319851273656587]","[5.0,5.0]","[21.55682086735597,21.55682086735597]","[false,false]","[1318.0,1413.0]","[-1932128710,954725415]","[-1108.3529787234042,-1147.944888888889]","[true,true]","[48.0,51.0]","[43835.2743999983,42749.28959999818]","[false,false]","[8.0,8.0]","[35.0,35.0]","[178.0,174.0]","[8396.0,8396.0]","[40.0,40.0]","[21.00677654180243,21.00677654180243]","[true,true]","[5.0,5.0]","[-357.0,-361.0]","[10.0,10.0]","[37.0,40.0]"
100,376,74.51746752261472,0.7721196389563638,4.562054167326724,7.695002056655421,28.128986740134184,56.97809418048243,-5.783695652173947,170.0,3,"[0.7721196389563638,0.7721196389563638,0.7721196389563638]","[23.04,30.89,27.939999999999998]","[74.51746752261472,74.51746752261472,74.51746752261472]","[7.695002056655421,7.695002056655421,7.695002056655421]","[4.562054167326724,4.562054167326724,4.562054167326724]","[5.0,5.0,5.0]","[28.128986740134184,28.128986740134184,28.128986740134184]","[false,false,false]","[1590.0,1715.0,1602.0]","[-24474697,1477319011,632583744]","[-5.783695652173947,-40.7580434782609,374.21621052631576]","[true,true,true]","[54.0,45.0,52.0]","[42605.30959999819,43489.97279999809,43402.58319999822]","[false,false,false]","[8.0,8.0,8.0]","[35.0,35.0,35.0]","[120.0,232.0,170.0]","[8396.0,8396.0,8396.0]","[40.0,40.0,40.0]","[56.97809418048243,56.97809418048243,56.97809418048243]","[true,true,true]","[5.0,5.0,5.0]","[-415.0,-303.0,-365.0]","[10.0,10.0,10.0]","[90.0,101.0,72.0]"
100,376,61.494739548478535,0.44421785931721225,4.257395701242767,5.0,38.58905036750515,49.98598273325254,-1180.881237113402,139.0,1,"[0.44421785931721225]","[25.919999999999998]","[61.494739548478535]","[5.0]","[4.257395701242767]","[5.0]","[38.58905036750515]","[false]","[1557.0]","[-145823737]","[-1180.881237113402]","[true]","[54.0]","[43059.034399998265]","[false]","[8.0]","[35.0]","[139.0]","[8396.0]","[40.0]","[49.98598273325254]","[true]","[5.0]","[-396.0]","[10.0]","[67.0]"
