evolution$generation,evolution$evaluated,tpsAuChamp,qPrésenceBrousse,fréquenceRéu,probaDenonce,probaDiscu,nbProTGMax,objective$om_stockMil,objective$om_charette,evolution$samples,qPrésenceBrousse,om_underTrees,tpsAuChamp,participants,fréquenceRéu,nombreBergers,probaDiscu,om_nbCoupe,probaDenonce,mySeed,om_delatMil,SPop,om_charette,om_stockMil,nbSurveillants,nbProTGMax,om_trees,coordinationRNA,engagésInitiaux,nbChampsVisités,om_delatArbres,SReprez,nbCoupeurs,om_caughtCutter
6400,6400,33.377236442249036,0.1640132181753593,2.444989016263216,46.67953459717826,21.670694022935262,48.06558216821813,-41221.0983999982,-47.0,17,"[0.1640132181753593,0.1640132181753593,0.1640132181753593,0.1640132181753593,0.1640132181753593,0.1640132181753593,0.1640132181753593,0.1640132181753593,0.1640132181753593,0.1640132181753593,0.1640132181753593,0.1640132181753593,0.1640132181753593,0.1640132181753593,0.1640132181753593,0.1640132181753593,0.1640132181753593]","[27.650000000000002,22.32,27.72,24.08,21.55,26.56,22.439999999999998,30.349999999999998,23.35,25.169999999999998,26.590000000000003,28.33,27.12,26.97,26.3,26.61,24.310000000000002]","[33.377236442249036,33.377236442249036,33.377236442249036,33.377236442249036,33.377236442249036,33.377236442249036,33.377236442249036,33.377236442249036,33.377236442249036,33.377236442249036,33.377236442249036,33.377236442249036,33.377236442249036,33.377236442249036,33.377236442249036,33.377236442249036,33.377236442249036]","[10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0]","[2.444989016263216,2.444989016263216,2.444989016263216,2.444989016263216,2.444989016263216,2.444989016263216,2.444989016263216,2.444989016263216,2.444989016263216,2.444989016263216,2.444989016263216,2.444989016263216,2.444989016263216,2.444989016263216,2.444989016263216,2.444989016263216,2.444989016263216]","[5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0]","[21.670694022935262,21.670694022935262,21.670694022935262,21.670694022935262,21.670694022935262,21.670694022935262,21.670694022935262,21.670694022935262,21.670694022935262,21.670694022935262,21.670694022935262,21.670694022935262,21.670694022935262,21.670694022935262,21.670694022935262,21.670694022935262,21.670694022935262]","[248.0,295.0,292.0,221.0,226.0,217.0,292.0,317.0,239.0,213.0,265.0,327.0,223.0,240.0,202.0,277.0,243.0]","[46.67953459717826,46.67953459717826,46.67953459717826,46.67953459717826,46.67953459717826,46.67953459717826,46.67953459717826,46.67953459717826,46.67953459717826,46.67953459717826,46.67953459717826,46.67953459717826,46.67953459717826,46.67953459717826,46.67953459717826,46.67953459717826,46.67953459717826]","[5391603,468599923,1444760203,924251360,-1701583724,-314998655,1778884475,-1384447078,645748860,1495456444,-965752665,1025153408,1658176456,-1839430864,-1083039444,1755238479,515487737]","[-2635.1469999996625,-2250.9707999995444,-2547.8825999994733,-2560.8407999993433,-4118.579199999433,-1251.8747999993357,-3444.0015999995667,-2045.8305999999284,-2847.2357999995147,-883.2233999994351,-3314.7325999995155,-2487.7239999993617,-2873.840799999678,-2115.8799999997063,-2454.420799999505,-1842.255399999529,-1737.7759999993868]","[true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true]","[55.0,61.0,52.0,56.0,59.0,47.0,55.0,50.0,56.0,55.0,51.0,48.0,48.0,50.0,51.0,50.0,54.0]","[42514.163999998054,42288.8039999982,42682.68319999834,42830.919999998274,41221.0983999982,43307.43119999839,41742.68159999809,43066.04559999783,42235.71919999815,43979.25439999827,42259.50719999821,43590.38319999822,42336.63039999816,42401.23359999805,42741.777599998175,42772.827199998224,43865.07199999831]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[48.06558216821813,48.06558216821813,48.06558216821813,48.06558216821813,48.06558216821813,48.06558216821813,48.06558216821813,48.06558216821813,48.06558216821813,48.06558216821813,48.06558216821813,48.06558216821813,48.06558216821813,48.06558216821813,48.06558216821813,48.06558216821813,48.06558216821813]","[160.0,106.0,173.0,138.0,122.0,159.0,111.0,199.0,116.0,131.0,152.0,201.0,183.0,162.0,154.0,179.0,144.0]","[true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0]","[92.0,90.0,91.0,89.0,88.0,96.0,91.0,94.0,96.0,93.0,91.0,90.0,90.0,93.0,94.0,91.0,91.0]","[-375.0,-429.0,-362.0,-397.0,-413.0,-376.0,-424.0,-336.0,-419.0,-404.0,-383.0,-334.0,-352.0,-373.0,-381.0,-356.0,-391.0]","[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0]","[4.0,2.0,4.0,10.0,6.0,3.0,6.0,5.0,3.0,4.0,10.0,3.0,0.0,1.0,4.0,10.0,3.0]"
6400,6400,71.59417689820616,0.6247440978837353,7.859456009299576,70.19368867280923,47.464355487745024,43.763086999252764,-54464.25359999362,-27.0,1,"[0.6247440978837353]","[91.11]","[71.59417689820616]","[10.0]","[7.859456009299576]","[5.0]","[47.464355487745024]","[136.0]","[70.19368867280923]","[-1700413937]","[9124.888999995906]","[true]","[27.0]","[54464.25359999362]","[1.0]","[43.763086999252764]","[5017.0]","[true]","[9.0]","[89.0]","[4482.0]","[false]","[10.0]","[247.0]"
6400,6400,20.12948235252002,0.7631233413792946,6.5920531095522295,0.0,55.04578061909136,12.541650103820754,-46516.131919996944,-35.05,20,"[0.7631233413792946,0.7631233413792946,0.7631233413792946,0.7631233413792946,0.7631233413792946,0.7631233413792946,0.7631233413792946,0.7631233413792946,0.7631233413792946,0.7631233413792946,0.7631233413792946,0.7631233413792946,0.7631233413792946,0.7631233413792946,0.7631233413792946,0.7631233413792946,0.7631233413792946,0.7631233413792946,0.7631233413792946,0.7631233413792946]","[54.50000000000001,58.46,55.98,55.58,55.489999999999995,56.830000000000005,57.84,53.72,56.69,53.72,58.660000000000004,58.46,57.15,58.10999999999999,58.85,55.15,56.24,57.93000000000001,57.14,58.330000000000005]","[20.12948235252002,20.12948235252002,20.12948235252002,20.12948235252002,20.12948235252002,20.12948235252002,20.12948235252002,20.12948235252002,20.12948235252002,20.12948235252002,20.12948235252002,20.12948235252002,20.12948235252002,20.12948235252002,20.12948235252002,20.12948235252002,20.12948235252002,20.12948235252002,20.12948235252002,20.12948235252002]","[10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0]","[6.5920531095522295,6.5920531095522295,6.5920531095522295,6.5920531095522295,6.5920531095522295,6.5920531095522295,6.5920531095522295,6.5920531095522295,6.5920531095522295,6.5920531095522295,6.5920531095522295,6.5920531095522295,6.5920531095522295,6.5920531095522295,6.5920531095522295,6.5920531095522295,6.5920531095522295,6.5920531095522295,6.5920531095522295,6.5920531095522295]","[5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0]","[55.04578061909136,55.04578061909136,55.04578061909136,55.04578061909136,55.04578061909136,55.04578061909136,55.04578061909136,55.04578061909136,55.04578061909136,55.04578061909136,55.04578061909136,55.04578061909136,55.04578061909136,55.04578061909136,55.04578061909136,55.04578061909136,55.04578061909136,55.04578061909136,55.04578061909136,55.04578061909136]","[1408.0,1313.0,1374.0,1387.0,1417.0,1277.0,1350.0,1407.0,1378.0,1346.0,1393.0,1379.0,1303.0,1451.0,1366.0,1314.0,1349.0,1428.0,1389.0,1291.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[1149857749,-1492484769,-912847602,2026356104,1528766149,-1603168736,-1605028880,943908184,-84383811,-987663856,-1526711451,-512814417,-355956952,-1088181691,-1462201285,1996485594,-1434560523,465740560,260972574,-237437354]","[2708.201199999261,2852.1811999989513,3335.390599999184,1094.6235999994024,3220.269199998984,1128.7405999989423,3584.100399999028,2317.013799999251,1517.1109999992914,861.4385999992664,1226.3339999988893,3071.1559999989695,2395.764599999362,2909.7731999990065,2050.4003999989145,1538.9583999994065,3735.1541999990295,3364.937799998879,2013.0281999988802,3794.4989999989484]","[true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true]","[45.0,38.0,46.0,48.0,48.0,44.0,41.0,41.0,46.0,48.0,42.0,45.0,44.0,36.0,42.0,48.0,44.0,36.0,37.0,35.0]","[47903.5231999969,48454.90399999661,47862.20719999685,46507.04239999694,48175.95839999669,46705.108799996626,48848.53279999675,47310.57599999696,47068.18879999696,46688.83279999696,46953.00479999657,48548.80399999652,47890.75279999695,48308.41999999668,47333.86319999665,46742.16799999703,47902.77199999674,48265.60159999663,47454.55599999669,48964.718399996615]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[12.541650103820754,12.541650103820754,12.541650103820754,12.541650103820754,12.541650103820754,12.541650103820754,12.541650103820754,12.541650103820754,12.541650103820754,12.541650103820754,12.541650103820754,12.541650103820754,12.541650103820754,12.541650103820754,12.541650103820754,12.541650103820754,12.541650103820754,12.541650103820754,12.541650103820754,12.541650103820754]","[791.0,922.0,878.0,895.0,817.0,905.0,871.0,780.0,898.0,820.0,921.0,909.0,892.0,904.0,876.0,865.0,860.0,888.0,894.0,907.0]","[true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0]","[94.0,96.0,88.0,93.0,92.0,97.0,93.0,90.0,92.0,94.0,89.0,91.0,87.0,91.0,90.0,89.0,90.0,94.0,88.0,92.0]","[256.0,387.0,343.0,360.0,282.0,370.0,336.0,245.0,363.0,285.0,386.0,374.0,357.0,369.0,341.0,330.0,325.0,353.0,359.0,372.0]","[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0]","[145.0,154.0,159.0,150.0,165.0,169.0,154.0,140.0,155.0,150.0,154.0,153.0,158.0,159.0,164.0,167.0,157.0,160.0,164.0,167.0]"
6400,6400,0.39597516884494616,0.14762964117212055,1.0000002194568163,44.24685191858349,78.11305578983446,50.0,-44107.70959999819,-58.0,1,"[0.14762964117212055]","[31.11]","[0.39597516884494616]","[10.0]","[1.0000002194568163]","[5.0]","[78.11305578983446]","[523.0]","[44.24685191858349]","[1089257]","[-1338.6383999995378]","[true]","[58.0]","[44107.70959999819]","[1.0]","[50.0]","[286.0]","[true]","[9.0]","[94.0]","[-249.0]","[false]","[10.0]","[233.0]"
6400,6400,49.00418214778182,0.8344351933631375,6.5608693392055155,50.866111234867994,57.12824101352514,41.18722792123396,-50003.37759999505,-42.0,2,"[0.8344351933631375,0.8344351933631375]","[93.07,82.25]","[49.00418214778182,49.00418214778182]","[10.0,10.0]","[6.5608693392055155,6.5608693392055155]","[5.0,5.0]","[57.12824101352514,57.12824101352514]","[231.0,767.0]","[50.866111234867994,50.866111234867994]","[972124422,86248449]","[7699.925199996025,4631.523599997272]","[true,true]","[42.0,42.0]","[53324.933599993805,50003.37759999505]","[1.0,1.0]","[41.18722792123396,41.18722792123396]","[4634.0,2404.0]","[true,true]","[9.0,9.0]","[96.0,91.0]","[4099.0,1869.0]","[false,false]","[10.0,10.0]","[243.0,203.0]"
6400,6400,8.069426388691504,0.2162631933775565,2.038954838290396,80.01826832891727,67.70623993442938,45.46271674231949,-45756.09279999739,-37.0,12,"[0.2162631933775565,0.2162631933775565,0.2162631933775565,0.2162631933775565,0.2162631933775565,0.2162631933775565,0.2162631933775565,0.2162631933775565,0.2162631933775565,0.2162631933775565,0.2162631933775565,0.2162631933775565]","[49.919999999999995,48.44,44.64,53.580000000000005,54.33,47.589999999999996,49.919999999999995,47.699999999999996,48.51,52.07000000000001,48.32,49.49]","[8.069426388691504,8.069426388691504,8.069426388691504,8.069426388691504,8.069426388691504,8.069426388691504,8.069426388691504,8.069426388691504,8.069426388691504,8.069426388691504,8.069426388691504,8.069426388691504]","[10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0]","[2.038954838290396,2.038954838290396,2.038954838290396,2.038954838290396,2.038954838290396,2.038954838290396,2.038954838290396,2.038954838290396,2.038954838290396,2.038954838290396,2.038954838290396,2.038954838290396]","[5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0]","[67.70623993442938,67.70623993442938,67.70623993442938,67.70623993442938,67.70623993442938,67.70623993442938,67.70623993442938,67.70623993442938,67.70623993442938,67.70623993442938,67.70623993442938,67.70623993442938]","[1158.0,1199.0,1294.0,1020.0,993.0,1214.0,1177.0,1157.0,1177.0,1018.0,1035.0,1143.0]","[80.01826832891727,80.01826832891727,80.01826832891727,80.01826832891727,80.01826832891727,80.01826832891727,80.01826832891727,80.01826832891727,80.01826832891727,80.01826832891727,80.01826832891727,80.01826832891727]","[-389070579,-663064136,-1771522070,981608174,1543178575,-403928466,821860333,-1046496475,-1373010998,-1214167445,-1450184402,410495237]","[2542.436399999395,1238.1653999997507,1926.6401999997615,2367.782399999487,2891.7443999991156,470.9397999997964,919.5313999996433,1430.9733999991731,1052.3059999994293,2060.165999999037,1904.9179999995104,2534.1731999992626]","[true,true,true,true,true,true,true,true,true,true,true,true]","[46.0,43.0,42.0,40.0,43.0,39.0,41.0,51.0,42.0,49.0,37.0,45.0]","[47812.87839999693,46784.735999997516,46214.82559999739,48105.345599997134,47944.58879999674,45756.09279999739,46320.494399997246,46417.89999999696,46210.318399997086,47343.62879999679,46559.62639999721,46753.93679999707]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[45.46271674231949,45.46271674231949,45.46271674231949,45.46271674231949,45.46271674231949,45.46271674231949,45.46271674231949,45.46271674231949,45.46271674231949,45.46271674231949,45.46271674231949,45.46271674231949]","[876.0,911.0,644.0,1100.0,995.0,800.0,873.0,717.0,857.0,986.0,768.0,818.0]","[true,true,true,true,true,true,true,true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0]","[91.0,96.0,89.0,91.0,90.0,92.0,87.0,90.0,89.0,94.0,89.0,90.0]","[341.0,376.0,109.0,565.0,460.0,265.0,338.0,182.0,322.0,451.0,233.0,283.0]","[false,false,false,false,false,false,false,false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0]","[210.0,211.0,193.0,237.0,218.0,202.0,238.0,199.0,204.0,239.0,203.0,210.0]"
6400,6400,11.378615386667734,0.9884225020791937,7.151638847284126,7.806177009782085,91.6648066745564,47.98567162435401,-50467.86959999467,-27.0,15,"[0.9884225020791937,0.9884225020791937,0.9884225020791937,0.9884225020791937,0.9884225020791937,0.9884225020791937,0.9884225020791937,0.9884225020791937,0.9884225020791937,0.9884225020791937,0.9884225020791937,0.9884225020791937,0.9884225020791937,0.9884225020791937,0.9884225020791937]","[84.05,87.74,86.31,84.68,86.94,85.82,86.99,85.92999999999999,87.02,86.59,86.17,86.36,85.21,84.44,87.67]","[11.378615386667734,11.378615386667734,11.378615386667734,11.378615386667734,11.378615386667734,11.378615386667734,11.378615386667734,11.378615386667734,11.378615386667734,11.378615386667734,11.378615386667734,11.378615386667734,11.378615386667734,11.378615386667734,11.378615386667734]","[10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0]","[7.151638847284126,7.151638847284126,7.151638847284126,7.151638847284126,7.151638847284126,7.151638847284126,7.151638847284126,7.151638847284126,7.151638847284126,7.151638847284126,7.151638847284126,7.151638847284126,7.151638847284126,7.151638847284126,7.151638847284126]","[5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0]","[91.6648066745564,91.6648066745564,91.6648066745564,91.6648066745564,91.6648066745564,91.6648066745564,91.6648066745564,91.6648066745564,91.6648066745564,91.6648066745564,91.6648066745564,91.6648066745564,91.6648066745564,91.6648066745564,91.6648066745564]","[1447.0,1356.0,1419.0,1366.0,1244.0,1397.0,1248.0,1498.0,1275.0,1383.0,1321.0,1293.0,1466.0,1454.0,1378.0]","[7.806177009782085,7.806177009782085,7.806177009782085,7.806177009782085,7.806177009782085,7.806177009782085,7.806177009782085,7.806177009782085,7.806177009782085,7.806177009782085,7.806177009782085,7.806177009782085,7.806177009782085,7.806177009782085,7.806177009782085]","[-662773905,707658181,1432185533,-296258601,-936011715,672751294,-1483380455,417469840,1414311136,-1050089831,1111630105,-1300034028,-652166726,1074430911,1239281124]","[5275.239399997205,5992.510199996956,7893.171399996776,5897.796399996878,6554.845999996833,6502.950599996962,6113.202999996902,5431.426399997072,7571.532599996637,6972.888799996683,5641.011199996872,7804.091599996784,7178.717599996809,6732.942999997125,7958.150199996489]","[true,true,true,true,true,true,true,true,true,true,true,true,true,true,true]","[42.0,33.0,40.0,37.0,34.0,44.0,35.0,45.0,36.0,34.0,36.0,33.0,35.0,33.0,27.0]","[50688.47199999478,51124.66879999461,52741.75199999443,51423.646399994526,51452.4423999946,51630.7271999946,51814.77119999446,50861.498399994714,52288.02719999442,51964.00959999436,50467.86959999467,52204.64399999441,52214.15919999459,51735.89519999469,53430.35199999424]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[47.98567162435401,47.98567162435401,47.98567162435401,47.98567162435401,47.98567162435401,47.98567162435401,47.98567162435401,47.98567162435401,47.98567162435401,47.98567162435401,47.98567162435401,47.98567162435401,47.98567162435401,47.98567162435401,47.98567162435401]","[2698.0,2987.0,2771.0,2879.0,3018.0,2844.0,3113.0,2744.0,3054.0,3002.0,2816.0,3093.0,2516.0,2833.0,3260.0]","[true,true,true,true,true,true,true,true,true,true,true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0]","[93.0,87.0,86.0,90.0,92.0,92.0,90.0,94.0,90.0,89.0,94.0,91.0,85.0,88.0,88.0]","[2163.0,2452.0,2236.0,2344.0,2483.0,2309.0,2578.0,2209.0,2519.0,2467.0,2281.0,2558.0,1981.0,2298.0,2725.0]","[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0]","[199.0,204.0,207.0,208.0,235.0,201.0,201.0,204.0,206.0,208.0,200.0,210.0,201.0,201.0,208.0]"
6400,6400,2.5004309478956115,0.8179218676519673,7.565823124998818,0.24159466719749784,100.0,46.63162187743005,-43703.31359999816,-51.0,2,"[0.8179218676519673,0.8179218676519673]","[36.68,29.12]","[2.5004309478956115,2.5004309478956115]","[10.0,10.0]","[7.565823124998818,7.565823124998818]","[5.0,5.0]","[100.0,100.0]","[1560.0,1805.0]","[0.24159466719749784,0.24159466719749784]","[-1201942312,-1556711546]","[-680.211599999675,-776.5529999994615]","[true,true]","[53.0,51.0]","[44636.05359999788,43703.31359999816]","[1.0,1.0]","[46.63162187743005,46.63162187743005]","[369.0,202.0]","[true,true]","[9.0,9.0]","[91.0,92.0]","[-166.0,-333.0]","[false,false]","[10.0,10.0]","[230.0,161.0]"
6400,6400,57.14746889576416,0.0,3.8615742590107067,80.45855283388936,78.26015319222364,6.594827974097831,-45256.29439999749,-41.0,7,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[50.01,47.510000000000005,47.21,45.49,46.06,48.25,47.79]","[57.14746889576416,57.14746889576416,57.14746889576416,57.14746889576416,57.14746889576416,57.14746889576416,57.14746889576416]","[10.0,10.0,10.0,10.0,10.0,10.0,10.0]","[3.8615742590107067,3.8615742590107067,3.8615742590107067,3.8615742590107067,3.8615742590107067,3.8615742590107067,3.8615742590107067]","[5.0,5.0,5.0,5.0,5.0,5.0,5.0]","[78.26015319222364,78.26015319222364,78.26015319222364,78.26015319222364,78.26015319222364,78.26015319222364,78.26015319222364]","[350.0,369.0,378.0,355.0,394.0,358.0,361.0]","[80.45855283388936,80.45855283388936,80.45855283388936,80.45855283388936,80.45855283388936,80.45855283388936,80.45855283388936]","[-1339589118,-1516142069,131009017,-1050505282,-1560423103,-1587957516,-1299019914]","[2142.359799999569,1400.487199999523,943.131599999535,298.7271999997756,948.5777999995553,2556.7717999994056,506.93479999978445]","[true,true,true,true,true,true,true]","[48.0,43.0,50.0,49.0,49.0,41.0,47.0]","[46837.06959999714,46425.6623999973,46100.89359999726,45935.379199997355,46004.48959999724,47784.082399997096,45256.29439999749]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[6.594827974097831,6.594827974097831,6.594827974097831,6.594827974097831,6.594827974097831,6.594827974097831,6.594827974097831]","[696.0,689.0,656.0,571.0,628.0,623.0,632.0]","[true,true,true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0,9.0,9.0]","[95.0,91.0,92.0,93.0,90.0,91.0,86.0]","[161.0,154.0,121.0,36.0,93.0,88.0,97.0]","[false,false,false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0,10.0,10.0]","[234.0,240.0,238.0,215.0,240.0,216.0,240.0]"
6400,6400,72.99093950231712,0.7139096481571746,8.439880430087284,100.0,60.27352073553671,42.0751878877264,-51039.03199999424,-37.0,3,"[0.7139096481571746,0.7139096481571746,0.7139096481571746]","[94.54,92.46,92.5]","[72.99093950231712,72.99093950231712,72.99093950231712]","[10.0,10.0,10.0]","[8.439880430087284,8.439880430087284,8.439880430087284]","[5.0,5.0,5.0]","[60.27352073553671,60.27352073553671,60.27352073553671]","[36.0,55.0,42.0]","[100.0,100.0,100.0]","[75070834,-1881205406,-1534632901]","[8943.849799995915,8525.619199996152,5700.105599996583]","[true,true,true]","[37.0,37.0,37.0]","[54029.80959999364,53673.991199993936,51039.03199999424]","[1.0,1.0,1.0]","[42.0751878877264,42.0751878877264,42.0751878877264]","[5498.0,5140.0,5526.0]","[true,true,true]","[9.0,9.0,9.0]","[89.0,86.0,93.0]","[4963.0,4605.0,4991.0]","[false,false,false]","[10.0,10.0,10.0]","[250.0,250.0,250.0]"
