evolution$generation,evolution$evaluated,tpsAuChamp,qPrésenceBrousse,fréquenceRéu,probaDenonce,probaDiscu,nbProTGMax,objective$om_stockMil,objective$om_charette,evolution$samples,qPrésenceBrousse,om_underTrees,tpsAuChamp,participants,fréquenceRéu,nombreBergers,probaDiscu,om_nbCoupe,probaDenonce,mySeed,om_delatMil,SPop,om_charette,om_stockMil,nbSurveillants,nbProTGMax,om_nbTreekilledHearder,om_trees,om_nbTreekilledCutter,coordinationRNA,engagésInitiaux,nbChampsVisités,om_delatArbres,SReprez,nbCoupeurs,om_caughtCutter
20560,20560,67.97208708288618,0.3212871122662452,10.0,40.241611750506365,57.44369962607167,17.411759673319892,-42117.02959999819,-59.0,1,"[0.3212871122662452]","[24.02]","[67.97208708288618]","[10.0]","[10.0]","[5.0]","[57.44369962607167]","[1713.0]","[40.241611750506365]","[799087514]","[-3610.2045999993716]","[false]","[59.0]","[42117.02959999819]","[1.0]","[17.411759673319892]","[3314.0]","[110.0]","[9448.0]","[true]","[9.0]","[91.0]","[-425.0]","[true]","[10.0]","[180.0]"
20560,20560,76.74648320579942,0.5410503293190474,10.0,11.562789306431196,100.0,45.9636831646446,-54057.8543999939,-35.0,1,"[0.5410503293190474]","[88.74]","[76.74648320579942]","[10.0]","[10.0]","[5.0]","[100.0]","[1507.0]","[11.562789306431196]","[1779606168]","[8610.316999996241]","[false]","[35.0]","[54057.8543999939]","[1.0]","[45.9636831646446]","[1360.0]","[3909.0]","[60136.0]","[true]","[9.0]","[94.0]","[3374.0]","[true]","[10.0]","[213.0]"
20560,20560,10.606633847980063,0.6974603638396842,4.663851867881203,85.25768624132004,82.92957646486612,38.32362822187949,-49285.55591999555,-26.65,30,"[0.6974603638396842,0.6974603638396842,0.6974603638396842,0.6974603638396842,0.6974603638396842,0.6974603638396842,0.6974603638396842,0.6974603638396842,0.6974603638396842,0.6974603638396842,0.6974603638396842,0.6974603638396842,0.6974603638396842,0.6974603638396842,0.6974603638396842,0.6974603638396842,0.6974603638396842,0.6974603638396842,0.6974603638396842,0.6974603638396842,0.6974603638396842,0.6974603638396842,0.6974603638396842,0.6974603638396842,0.6974603638396842,0.6974603638396842,0.6974603638396842,0.6974603638396842,0.6974603638396842,0.6974603638396842]","[76.03,76.61,71.21,78.64,78.8,74.88,76.57000000000001,72.00999999999999,77.9,78.25,76.5,78.92,77.10000000000001,77.29,78.46,76.68,80.0,76.8,76.05,78.36,75.17,79.67,75.64,76.5,76.34,78.3,77.62,77.91,79.42,76.63]","[10.606633847980063,10.606633847980063,10.606633847980063,10.606633847980063,10.606633847980063,10.606633847980063,10.606633847980063,10.606633847980063,10.606633847980063,10.606633847980063,10.606633847980063,10.606633847980063,10.606633847980063,10.606633847980063,10.606633847980063,10.606633847980063,10.606633847980063,10.606633847980063,10.606633847980063,10.606633847980063,10.606633847980063,10.606633847980063,10.606633847980063,10.606633847980063,10.606633847980063,10.606633847980063,10.606633847980063,10.606633847980063,10.606633847980063,10.606633847980063]","[10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0]","[4.663851867881203,4.663851867881203,4.663851867881203,4.663851867881203,4.663851867881203,4.663851867881203,4.663851867881203,4.663851867881203,4.663851867881203,4.663851867881203,4.663851867881203,4.663851867881203,4.663851867881203,4.663851867881203,4.663851867881203,4.663851867881203,4.663851867881203,4.663851867881203,4.663851867881203,4.663851867881203,4.663851867881203,4.663851867881203,4.663851867881203,4.663851867881203,4.663851867881203,4.663851867881203,4.663851867881203,4.663851867881203,4.663851867881203,4.663851867881203]","[5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0]","[82.92957646486612,82.92957646486612,82.92957646486612,82.92957646486612,82.92957646486612,82.92957646486612,82.92957646486612,82.92957646486612,82.92957646486612,82.92957646486612,82.92957646486612,82.92957646486612,82.92957646486612,82.92957646486612,82.92957646486612,82.92957646486612,82.92957646486612,82.92957646486612,82.92957646486612,82.92957646486612,82.92957646486612,82.92957646486612,82.92957646486612,82.92957646486612,82.92957646486612,82.92957646486612,82.92957646486612,82.92957646486612,82.92957646486612,82.92957646486612]","[1618.0,1642.0,1928.0,1582.0,1448.0,1551.0,1620.0,1591.0,1439.0,1580.0,1551.0,1381.0,1705.0,1675.0,1431.0,1638.0,1421.0,1479.0,1628.0,1696.0,1666.0,1391.0,1520.0,1556.0,1513.0,1588.0,1383.0,1669.0,1292.0,1488.0]","[85.25768624132004,85.25768624132004,85.25768624132004,85.25768624132004,85.25768624132004,85.25768624132004,85.25768624132004,85.25768624132004,85.25768624132004,85.25768624132004,85.25768624132004,85.25768624132004,85.25768624132004,85.25768624132004,85.25768624132004,85.25768624132004,85.25768624132004,85.25768624132004,85.25768624132004,85.25768624132004,85.25768624132004,85.25768624132004,85.25768624132004,85.25768624132004,85.25768624132004,85.25768624132004,85.25768624132004,85.25768624132004,85.25768624132004,85.25768624132004]","[689829253,-334289293,1133587415,893076985,-1445470010,-1291924547,-2100511045,935034247,552649164,1613485632,2068829097,-631541677,-553526472,1685279064,453675688,-114259296,915138188,1715873715,-1275759213,-118591536,-953376849,1009266037,-1206852660,655555823,-1378821776,53588998,754088150,-818277854,-44688993,-83924630]","[5078.049399997799,5982.055999997909,6484.546199997778,4725.110599997308,6514.656799997385,6131.043999997688,5186.409999997712,4254.108199998082,5502.101799997319,4482.723399997551,5862.427399997643,6089.289799997037,6056.925599997543,5897.107799997619,5227.913799997499,4304.375999997952,5784.239999997182,5382.034999997639,6449.302399997636,5525.013399997595,5239.682599997672,5252.390399997501,5160.994399997893,6550.7143999975015,6393.713599997478,3708.486599997763,4925.8061999976635,5150.5401999976675,5899.924799997338,6527.9279999975915]","[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false]","[45.0,35.0,28.0,35.0,42.0,30.0,37.0,36.0,38.0,37.0,40.0,38.0,42.0,34.0,34.0,44.0,34.0,41.0,30.0,39.0,44.0,41.0,44.0,44.0,38.0,35.0,34.0,25.0,47.0,31.0]","[50171.14559999538,50462.3607999955,50665.4351999955,50669.691999994946,51328.49439999513,51274.40799999531,50512.440799995406,49221.37839999578,50758.83439999505,50192.930399995275,49759.738399995345,51227.33279999483,51117.156799995224,50382.48319999523,50982.44159999512,49370.36639999559,51295.94239999496,50672.195999995376,51172.24479999526,50353.43679999524,50567.52879999533,50634.3855999951,50119.563199995544,50983.19279999521,51234.093599995096,49338.064799995365,49877.67679999529,50885.536799995265,51121.914399995025,51051.05119999521]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[38.32362822187949,38.32362822187949,38.32362822187949,38.32362822187949,38.32362822187949,38.32362822187949,38.32362822187949,38.32362822187949,38.32362822187949,38.32362822187949,38.32362822187949,38.32362822187949,38.32362822187949,38.32362822187949,38.32362822187949,38.32362822187949,38.32362822187949,38.32362822187949,38.32362822187949,38.32362822187949,38.32362822187949,38.32362822187949,38.32362822187949,38.32362822187949,38.32362822187949,38.32362822187949,38.32362822187949,38.32362822187949,38.32362822187949,38.32362822187949]","[1013.0,1146.0,1054.0,1007.0,922.0,1078.0,991.0,1033.0,1097.0,938.0,1138.0,1004.0,989.0,1051.0,860.0,1005.0,1110.0,1002.0,1007.0,1095.0,924.0,1097.0,1112.0,1069.0,1080.0,1090.0,941.0,1164.0,1113.0,1117.0]","[1847.0,1960.0,1763.0,2205.0,2123.0,1893.0,2035.0,1760.0,2059.0,2033.0,1917.0,2095.0,2023.0,1995.0,2188.0,1870.0,2167.0,1975.0,1788.0,1954.0,1726.0,2138.0,1959.0,2033.0,1903.0,1996.0,2036.0,2016.0,2167.0,1997.0]","[28232.0,30571.0,29299.0,34066.0,32272.0,31631.0,30599.0,28342.0,31544.0,33054.0,30332.0,31272.0,30237.0,31255.0,34898.0,27044.0,34509.0,31376.0,27075.0,29660.0,25463.0,32510.0,29358.0,28419.0,29852.0,31211.0,34361.0,32631.0,29181.0,33576.0]","[true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0]","[91.0,90.0,89.0,95.0,92.0,92.0,87.0,91.0,90.0,95.0,93.0,93.0,94.0,94.0,93.0,91.0,97.0,92.0,88.0,88.0,91.0,90.0,88.0,92.0,90.0,87.0,92.0,94.0,92.0,94.0]","[1312.0,1425.0,1228.0,1670.0,1588.0,1358.0,1500.0,1225.0,1524.0,1498.0,1382.0,1560.0,1488.0,1460.0,1653.0,1335.0,1632.0,1440.0,1253.0,1419.0,1191.0,1603.0,1424.0,1498.0,1368.0,1461.0,1501.0,1481.0,1632.0,1462.0]","[true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true]","[10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0]","[202.0,202.0,203.0,215.0,205.0,206.0,204.0,199.0,205.0,207.0,209.0,203.0,213.0,206.0,210.0,207.0,208.0,207.0,202.0,211.0,206.0,209.0,201.0,206.0,207.0,208.0,207.0,198.0,206.0,204.0]"
20560,20560,29.38096451417088,0.0,8.21731183685248,40.07968612455875,75.41831814236392,29.72616357161707,-47630.58719999707,-49.0,1,"[0.0]","[49.63]","[29.38096451417088]","[10.0]","[8.21731183685248]","[5.0]","[75.41831814236392]","[1436.0]","[40.07968612455875]","[1124734762]","[2172.908599999384]","[false]","[49.0]","[47630.58719999707]","[1.0]","[29.72616357161707]","[942.0]","[778.0]","[19036.0]","[true]","[9.0]","[91.0]","[243.0]","[true]","[10.0]","[205.0]"
20560,20560,41.48427110559091,0.13841229825871873,8.332344388218464,28.605436208876927,64.00406412523321,27.689398758988194,-48334.81215999621,-31.0,25,"[0.13841229825871873,0.13841229825871873,0.13841229825871873,0.13841229825871873,0.13841229825871873,0.13841229825871873,0.13841229825871873,0.13841229825871873,0.13841229825871873,0.13841229825871873,0.13841229825871873,0.13841229825871873,0.13841229825871873,0.13841229825871873,0.13841229825871873,0.13841229825871873,0.13841229825871873,0.13841229825871873,0.13841229825871873,0.13841229825871873,0.13841229825871873,0.13841229825871873,0.13841229825871873,0.13841229825871873,0.13841229825871873]","[63.12,64.53999999999999,67.83,67.19000000000001,63.81,66.22,68.41000000000001,66.03,71.04,69.85,70.41,75.25,64.46,70.49,70.67999999999999,65.77,73.64,71.78,75.64999999999999,69.41000000000001,70.73,68.52000000000001,64.42,73.1,73.04]","[41.48427110559091,41.48427110559091,41.48427110559091,41.48427110559091,41.48427110559091,41.48427110559091,41.48427110559091,41.48427110559091,41.48427110559091,41.48427110559091,41.48427110559091,41.48427110559091,41.48427110559091,41.48427110559091,41.48427110559091,41.48427110559091,41.48427110559091,41.48427110559091,41.48427110559091,41.48427110559091,41.48427110559091,41.48427110559091,41.48427110559091,41.48427110559091,41.48427110559091]","[10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0]","[8.332344388218464,8.332344388218464,8.332344388218464,8.332344388218464,8.332344388218464,8.332344388218464,8.332344388218464,8.332344388218464,8.332344388218464,8.332344388218464,8.332344388218464,8.332344388218464,8.332344388218464,8.332344388218464,8.332344388218464,8.332344388218464,8.332344388218464,8.332344388218464,8.332344388218464,8.332344388218464,8.332344388218464,8.332344388218464,8.332344388218464,8.332344388218464,8.332344388218464]","[5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0]","[64.00406412523321,64.00406412523321,64.00406412523321,64.00406412523321,64.00406412523321,64.00406412523321,64.00406412523321,64.00406412523321,64.00406412523321,64.00406412523321,64.00406412523321,64.00406412523321,64.00406412523321,64.00406412523321,64.00406412523321,64.00406412523321,64.00406412523321,64.00406412523321,64.00406412523321,64.00406412523321,64.00406412523321,64.00406412523321,64.00406412523321,64.00406412523321,64.00406412523321]","[1683.0,1636.0,1666.0,1527.0,1907.0,1727.0,1659.0,1739.0,1661.0,1561.0,1522.0,1510.0,1643.0,1616.0,1496.0,1759.0,1566.0,1552.0,1286.0,1605.0,1664.0,1667.0,1834.0,1393.0,1463.0]","[28.605436208876927,28.605436208876927,28.605436208876927,28.605436208876927,28.605436208876927,28.605436208876927,28.605436208876927,28.605436208876927,28.605436208876927,28.605436208876927,28.605436208876927,28.605436208876927,28.605436208876927,28.605436208876927,28.605436208876927,28.605436208876927,28.605436208876927,28.605436208876927,28.605436208876927,28.605436208876927,28.605436208876927,28.605436208876927,28.605436208876927,28.605436208876927,28.605436208876927]","[-1021619655,-470245624,-1166694548,362062079,-78261979,-574857357,1234120334,-1160195768,1996798827,-295814672,-1112160457,-108915377,1145141425,-235472050,1564793505,-640368611,-1316219500,-181421228,1281739947,1539298167,649335426,1011060518,364236339,-735691135,1083779213]","[4323.468999998244,4531.426199998401,4510.142199998241,5147.347599997833,3449.322599998668,4043.834799998447,4753.217999998196,4365.035399998589,5151.604399997996,4241.588199998114,5219.963599997871,4970.0017999976335,4135.981999998301,4556.027999997859,3353.6071999980413,3562.4407999982213,4145.810199997599,3202.866399998122,6279.1555999973425,4285.7211999981955,4686.42379999804,3199.6737999981415,4996.5441999982795,5278.369399997588,5539.28619999798]","[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false]","[49.0,48.0,46.0,41.0,46.0,43.0,38.0,46.0,33.0,39.0,36.0,31.0,46.0,34.0,47.0,41.0,35.0,37.0,40.0,48.0,36.0,47.0,46.0,34.0,31.0]","[49198.0911999961,49466.26959999612,49798.049599995924,50338.16239999554,48289.89039999631,48864.30799999612,49903.71839999571,49265.448799996135,50124.82159999564,49613.00399999577,50579.047199995526,50241.25759999526,48757.63759999607,50350.181599995565,48915.89039999559,48439.629599995984,49281.97519999531,49303.259199995766,51443.42799999509,49695.88639999577,49410.93119999571,48710.56239999572,49237.65439999611,50343.42079999539,50461.10879999566]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[27.689398758988194,27.689398758988194,27.689398758988194,27.689398758988194,27.689398758988194,27.689398758988194,27.689398758988194,27.689398758988194,27.689398758988194,27.689398758988194,27.689398758988194,27.689398758988194,27.689398758988194,27.689398758988194,27.689398758988194,27.689398758988194,27.689398758988194,27.689398758988194,27.689398758988194,27.689398758988194,27.689398758988194,27.689398758988194,27.689398758988194,27.689398758988194,27.689398758988194]","[1121.0,1190.0,1101.0,1182.0,1155.0,1267.0,1032.0,1070.0,1148.0,1029.0,1170.0,1040.0,1202.0,1103.0,1026.0,1248.0,958.0,1159.0,960.0,937.0,1031.0,1032.0,959.0,1118.0,1246.0]","[1245.0,1431.0,1393.0,1511.0,1242.0,1329.0,1438.0,1262.0,1565.0,1618.0,1612.0,1799.0,1254.0,1612.0,1603.0,1279.0,1731.0,1628.0,2010.0,1478.0,1609.0,1558.0,1281.0,1734.0,1738.0]","[22018.0,25703.0,23305.0,26244.0,21698.0,23551.0,25383.0,21889.0,29207.0,31787.0,30639.0,34541.0,19925.0,29196.0,25812.0,22952.0,32481.0,30144.0,35785.0,22606.0,28460.0,27510.0,22084.0,30199.0,32533.0]","[true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0]","[92.0,91.0,88.0,86.0,90.0,94.0,90.0,94.0,92.0,92.0,89.0,93.0,89.0,95.0,90.0,89.0,90.0,87.0,94.0,91.0,101.0,91.0,96.0,91.0,90.0]","[710.0,896.0,858.0,976.0,707.0,794.0,903.0,727.0,1030.0,1083.0,1077.0,1264.0,719.0,1077.0,1068.0,744.0,1196.0,1093.0,1475.0,943.0,1074.0,1023.0,746.0,1199.0,1203.0]","[true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true]","[10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0]","[206.0,208.0,208.0,206.0,205.0,205.0,206.0,204.0,210.0,207.0,210.0,212.0,210.0,212.0,208.0,202.0,209.0,210.0,211.0,208.0,209.0,207.0,207.0,210.0,208.0]"
20560,20560,31.23769127546423,0.47958014032457713,9.502054219162346,0.0,100.0,41.517051382898586,-53603.127999994096,-36.0,2,"[0.47958014032457713,0.47958014032457713]","[87.77000000000001,87.55]","[31.23769127546423,31.23769127546423]","[10.0,10.0]","[9.502054219162346,9.502054219162346]","[5.0,5.0]","[100.0,100.0]","[1501.0,1579.0]","[0.0,0.0]","[270429423,1260586276]","[7975.052199996477,8288.865999996473]","[false,false]","[36.0,43.0]","[53603.127999994096,53760.12879999425]","[1.0,1.0]","[41.517051382898586,41.517051382898586]","[826.0,956.0]","[3317.0,3185.0]","[55712.0,49056.0]","[true,true]","[9.0,9.0]","[94.0,90.0]","[2782.0,2650.0]","[true,true]","[10.0,10.0]","[209.0,212.0]"
20560,20560,62.52821947702479,0.07666334750269664,9.734704781988162,52.66940156971545,39.403700225627716,11.343378653524038,-43348.74719999821,-48.0,2,"[0.07666334750269664,0.07666334750269664]","[28.63,35.730000000000004]","[62.52821947702479,62.52821947702479]","[10.0,10.0]","[9.734704781988162,9.734704781988162]","[5.0,5.0]","[39.403700225627716,39.403700225627716]","[1555.0,1497.0]","[52.66940156971545,52.66940156971545]","[-1070631147,-238183235]","[-1752.5495999994891,-231.80779999962397]","[false,false]","[57.0,48.0]","[43348.74719999821,44771.519999997974]","[1.0,1.0]","[11.343378653524038,11.343378653524038]","[1571.0,1770.0]","[214.0,336.0]","[11010.0,12701.0]","[true,true]","[9.0,9.0]","[90.0,92.0]","[-321.0,-199.0]","[true,true]","[10.0,10.0]","[201.0,191.0]"
20560,20560,40.98963667168433,0.11688810399894824,9.650334730587277,34.41004200262511,73.95941976821304,38.10479189069585,-48536.534399996395,-39.0,5,"[0.11688810399894824,0.11688810399894824,0.11688810399894824,0.11688810399894824,0.11688810399894824]","[70.86,66.89,68.97999999999999,68.82000000000001,65.35]","[40.98963667168433,40.98963667168433,40.98963667168433,40.98963667168433,40.98963667168433]","[10.0,10.0,10.0,10.0,10.0]","[9.650334730587277,9.650334730587277,9.650334730587277,9.650334730587277,9.650334730587277]","[5.0,5.0,5.0,5.0,5.0]","[73.95941976821304,73.95941976821304,73.95941976821304,73.95941976821304,73.95941976821304]","[1630.0,1756.0,1844.0,1724.0,1828.0]","[34.41004200262511,34.41004200262511,34.41004200262511,34.41004200262511,34.41004200262511]","[2127944371,411925722,-1543207865,1938367842,176236068]","[5512.242999997819,3677.8751999986926,5149.538599998326,4644.794799997966,3637.4355999984473]","[false,false,false,false,false]","[47.0,46.0,39.0,42.0,45.0]","[50324.13999999553,48536.534399996395,49890.947999996,49611.751999995715,49134.73999999608]","[1.0,1.0,1.0,1.0,1.0]","[38.10479189069585,38.10479189069585,38.10479189069585,38.10479189069585,38.10479189069585]","[921.0,1040.0,838.0,1098.0,1076.0]","[1789.0,1547.0,1645.0,1661.0,1543.0]","[28779.0,26032.0,27540.0,26917.0,23561.0]","[true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0]","[91.0,89.0,86.0,93.0,86.0]","[1254.0,1012.0,1110.0,1126.0,1008.0]","[true,true,true,true,true]","[10.0,10.0,10.0,10.0,10.0]","[209.0,205.0,204.0,209.0,205.0]"
20560,20560,60.268591692676864,0.03543831579498889,9.050887152781524,35.40269621498637,47.847272584604276,22.58628342458681,-46437.43119999714,-52.0,1,"[0.03543831579498889]","[47.03]","[60.268591692676864]","[10.0]","[9.050887152781524]","[5.0]","[47.847272584604276]","[1565.0]","[35.40269621498637]","[1136568392]","[770.1051999994525]","[false]","[52.0]","[46437.43119999714]","[1.0]","[22.58628342458681]","[1255.0]","[605.0]","[14489.0]","[true]","[9.0]","[90.0]","[70.0]","[true]","[10.0]","[198.0]"
20560,20560,60.051911303511375,0.19974627378396675,9.441197747313927,35.666711069188594,48.44993080519144,22.44589927868479,-47028.12479999699,-39.0,9,"[0.19974627378396675,0.19974627378396675,0.19974627378396675,0.19974627378396675,0.19974627378396675,0.19974627378396675,0.19974627378396675,0.19974627378396675,0.19974627378396675]","[52.2,55.87,55.19,69.08999999999999,63.89,54.48,53.36,62.57,66.71000000000001]","[60.051911303511375,60.051911303511375,60.051911303511375,60.051911303511375,60.051911303511375,60.051911303511375,60.051911303511375,60.051911303511375,60.051911303511375]","[10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0]","[9.441197747313927,9.441197747313927,9.441197747313927,9.441197747313927,9.441197747313927,9.441197747313927,9.441197747313927,9.441197747313927,9.441197747313927]","[5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0]","[48.44993080519144,48.44993080519144,48.44993080519144,48.44993080519144,48.44993080519144,48.44993080519144,48.44993080519144,48.44993080519144,48.44993080519144]","[1672.0,1607.0,1639.0,1328.0,1463.0,1637.0,1646.0,1480.0,1498.0]","[35.666711069188594,35.666711069188594,35.666711069188594,35.666711069188594,35.666711069188594,35.666711069188594,35.666711069188594,35.666711069188594,35.666711069188594]","[243973756,-285727311,441343226,-481722056,-1064776178,32930246,829154601,-1570291253,-1501647866]","[3029.088799999314,2806.4831999990274,1903.8537999992332,5111.415199998184,3223.2739999984115,2985.3313999989696,1972.5885999994643,5363.067199998513,4041.142999998483]","[false,false,false,false,false,false,false,false,false]","[49.0,45.0,40.0,42.0,47.0,42.0,44.0,48.0,39.0]","[48421.85119999689,47572.744799996624,47028.12479999699,50062.221599996,49177.3079999961,48034.98319999665,47318.08799999719,49503.57919999626,48692.783999996114]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[22.44589927868479,22.44589927868479,22.44589927868479,22.44589927868479,22.44589927868479,22.44589927868479,22.44589927868479,22.44589927868479,22.44589927868479]","[2310.0,2112.0,2048.0,1622.0,1770.0,2213.0,2334.0,1956.0,1777.0]","[735.0,932.0,947.0,1514.0,1257.0,924.0,823.0,1210.0,1397.0]","[13230.0,15661.0,16703.0,25757.0,18472.0,16900.0,14621.0,19312.0,23475.0]","[true,true,true,true,true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0]","[88.0,92.0,92.0,93.0,95.0,92.0,89.0,95.0,94.0]","[200.0,397.0,412.0,979.0,722.0,389.0,288.0,675.0,862.0]","[true,true,true,true,true,true,true,true,true]","[10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0]","[205.0,206.0,205.0,211.0,209.0,202.0,204.0,208.0,208.0]"
