"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"M2-SAFIRe_model.nlogo"
"replication_treeKillers"
"06/12/2024 10:57:38:325 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","engagés-initiaux","nombre-bergers","proba-denonce","proba-discu","fréquence-réu","q-présence-brousse","nb-proTG-max","nb-coupeurs","coordination-RNA","participants","tps-au-champ","[step]","%-under-tree","coupeurs-attrapes","age-moy-arb","nb-arbres","pouss","pouss-prot","pouss-inter-prot","MoyN-interet-RNA","nb-engages","stock-mil-g","nbTreekilled_hearder","nbTreekilled_cutter","nbTreekilled_grower"
"21","9","5","90","80","8","0.7","25","10","true","10","10","10192","18.25","0","[100 96 88 92 99 100 98 91 87 91 97 93 91 96 87 88 97 96 96 89 97 87 96 92 87 100 99 98 99 87 87 99 99 98 96 99 99 87 92 91 99 92 89 87 93 100 94 97 88 99]","50","52","51","1","120.12666666667533","81","42035.89999999844","1582","4182","10588"
"44","9","5","90","80","8","0.7","25","10","true","10","30","10192","15.559999999999999","0","[96 94 90 94 93 93 88 91 94 100 98 97 87 99 97 91 89 97 88 87 88 89]","22","9","9","0","222.27391304348686","92","41823.05999999851","3067","3312","8615"
"11","9","5","90","80","8","0.7","25","10","true","10","10","10192","14.24","0","[94 90 93 93 96 100 96]","7","6","6","0","188.91868131869194","90","41442.95279999861","1470","3641","9363"
"52","9","5","90","80","8","0.7","25","10","true","10","30","10192","15.39","0","[95 98 93 96 99 97 94 90 89 93 89 99 100 90 87 88 97 87 91 96 100]","21","14","12","0","213.58000000000717","87","42512.661599998624","3154","3227","8549"
"47","9","5","90","80","8","0.7","25","10","true","10","30","10192","16.520000000000003","0","[99 99 92 95 87 100 100 95 97 87 89 94 98 90 94 88 98 98 92 96 89 97 100 90 95 88 87 88 95]","29","5","5","0","135.65054945055618","89","40802.67999999824","3074","3455","8655"
"1","9","5","90","80","8","0.7","25","10","true","10","10","10192","17.810000000000002","0","[94 91 94 93 92 89 94 89 99 98 100 90 94 88 99 96 100 98 98 92 87 97 91 91 96]","25","6","6","0","129.84395604396306","87","42529.93919999847","1451","3937","10112"
"7","9","5","90","80","8","0.7","25","10","true","10","10","10192","17.68","0","[87 98 87 89 90 90 94 100 91 96 91 92 90 97 94 92 95]","17","9","9","0","209.09890109891256","91","41526.836799998346","1551","3737","9085"
"39","9","5","90","80","8","0.7","25","10","true","10","30","10192","16.900000000000002","0","[100 97 98 94 90 97 97 94 95 92 88 100 87 87 92 90 91 99 100 94]","20","9","9","0","185.8886363636433","81","41551.37599999838","3064","3263","8465"
"17","9","5","90","80","8","0.7","25","10","true","10","10","10192","16.220000000000002","0","[89 95 93 90 89 98 89 91 88 91 100 96 87 97 93 90 96 94 97 87 92 89 94 96 93 91 99 90]","28","9","9","0","159.62197802198887","88","42423.01839999851","1562","3930","10257"
"16","9","5","90","80","8","0.7","25","10","true","10","10","10192","17.53","0","[94 92 90 94 88 88 95 89 97 93 90 98 87 96 88 94 91 92 92 91 94 88 88 97 95 93 98 98 95 99 89 100 94 96 99 87 100 97 90 95 100 100 95 99]","44","7","4","1","107.74888888889782","80","41106.164799998245","1398","4077","10594"
"23","9","5","90","80","8","0.7","25","10","true","10","10","10192","20.39","0","[98 100 97 100 99 97 94 95 98 91 94 95 91 99 99 98 87 97 91 97 92 87 98 92 96 91 95 99 88 94 88 98 93 88 99 90 100 87 95 87 99 95 92 100 88 88 92 91 99 100 91 88 97 93 93 91 95 97 87 93 95 88 100 98 95 93 100 89 99 96 91 97 87 93 98 96 89 89 89 92 91 97 96]","83","220","213","0","64.35764705882765","69","42213.68399999839","1859","4204","11930"
"60","9","5","90","80","8","0.7","25","10","true","10","30","10192","20.66","0","[93 96 97 98 94 92 93 100 89 89 97 96 97 99 91 95 88 98 94 98 100 91 96 89 89 92 95 91 90 89 90 88 95 98 99 94 91 91 98 90 96 90 90 90 100 96 99 93 100 88 94]","51","65","65","1","23.16521739130533","25","42491.37759999832","3536","3506","9906"
"43","9","5","90","80","8","0.7","25","10","true","10","30","10192","17.48","0","[95 93 91 95 88 88 87 99 89 96 93 92 97 91 99 94 99 98 87 97 100 95 96 100 87 94 94 97 96 94 89 94 89 99 95 97 93 97 97 95 92 87 98 95 87]","45","20","20","2","65.37173913043864","60","40209.48239999817","3531","3427","9125"
"14","9","5","90","80","8","0.7","25","10","true","10","10","10192","17.09","0","[91 97 100 95 97 93 93 88 99 92 88 93 93 93 90 99 87 87 98 99 89 88 99 96 93 99 97 95]","28","9","9","0","145.4155555555646","90","41651.78639999847","1709","3810","10574"
"45","9","5","90","80","8","0.7","25","10","true","10","30","10192","19.89","0","[94 88 94 98 90 96 89 94 94 100 98 97 89 87 98 97 99 90 88 94 93 98 93 98 87 87 96 87 93 89 93 90 93]","33","9","9","0","196.1400000000072","90","41571.65839999837","3185","3287","8727"
"25","9","5","90","80","8","0.7","25","10","true","10","10","10192","16.66","0","[94 89 88 93 97 92 91 99 92 98 95]","11","0","0","0","200.8023255814044","83","41557.385599998364","1683","3510","8842"
"54","9","5","90","80","8","0.7","25","10","true","10","30","10192","22.259999999999998","0","[99 88 92 97 98 98 99 92 94 91 90 99 96 91 100 90 100 95 90 87 98 89 95 92 92 96 95 98 93 87 92 88 95 89 100 99 94 90 97 89 87 98 99 88 91 90 92 89 93 88 94 94 91 93 95 96 97 96 96 91 97 96 96 92 93 99 91 98 89 88 94 87 90 92 97 89 100 96 96 95 88 99 91]","83","57","53","0","35.50337078651662","16","42953.11519999835","3669","3906","10531"
"58","9","5","90","80","8","0.7","25","10","true","10","30","10192","15.939999999999998","0","[96 97 100 92 93 92 97 87 91 93 98 88 88 90 96 89 98 98 95 97 93 100 88 88 89 91 91 96 92 97 92 94 92]","33","11","11","0","68.6285714285748","79","40746.590399998306","3082","3476","9133"
"48","9","5","90","80","8","0.7","25","10","true","10","30","10192","18.27","0","[96 87 98 88 100 89 99 91 96 96 94 94 88 94 87 90 87 88 88 89 95 94 96 87 92 92 87 97 88 89 88 90 90 98 100 100 97 99 96 95 96 95 89 91 87 100 88 97 100 92 95 96 94 99 96 90]","56","29","29","0","38.40000000000303","39","42310.588799998404","3684","3519","9862"
"40","9","5","90","80","8","0.7","25","10","true","10","30","10192","18.95","0","[88 95 88 89 87 87 98 97 88 91 88 92 100 92 95 100 98 91 91 98 99 89 98 95 94 99 94 93 90 99 87 94 93]","33","18","18","0","77.05168539326155","78","43008.70399999847","3063","3577","9083"
"22","9","5","90","80","8","0.7","25","10","true","10","10","10192","15.290000000000001","0","[89 94 89 97 88 95 95 87 94 91 98 92 87 97 95 95 99 88 96 92 93 99 97 98 89 89]","26","3","3","0","138.38666666667405","88","42310.83919999846","1773","3964","9953"
"56","9","5","90","80","8","0.7","25","10","true","10","30","10192","17.98","0","[98 88 100 94 87 96 99 90 92 98 96 94 99 100 87 90 89 92 100 96 95 87 88 89 99 98 91 94 97 92 98 99 87 87 99 93 99 94 98 90 99 100 92 90 100 87 97 93 99 87 95 100 100 88]","54","24","24","3","38.40430107526966","29","41932.98559999849","3329","3602","9682"
