evolution$generation,evolution$evaluated,tpsAuChamp,qPrésenceBrousse,fréquenceRéu,participants,probaDiscu,probaDenonce,objective$om_trees,objective$om_stockMil,evolution$samples,qPrésenceBrousse,om_underTrees,tpsAuChamp,participants,fréquenceRéu,nombreBergers,probaDiscu,SRepreZ,om_nbCoupe,mySeed,nbChampsVisités,SPop,om_charette,om_stockMil,coordination,nbSurveillants,nbProTGMax,om_trees,om_ticks,engagésInitiaux,probaDenonce,RNA,nbCoupeurs,om_caughtCutter
90,344,74.27873861404592,0.5798777466932469,4.397065197322642,7.95708649816257,56.91741507141478,63.35941641228071,-5132.0,-52165.581599994046,1,"[0.5798777466932469]","[91.47]","[74.27873861404592]","[7.95708649816257]","[4.397065197322642]","[5.0]","[56.91741507141478]","[false]","[194.0]","[7208975]","[5.0]","[true]","[24.0]","[52165.581599994046]","[false]","[8.0]","[35.0]","[5132]","[8396.0]","[40.0]","[63.35941641228071]","[true]","[10.0]","[282.0]"
90,344,43.78011903671744,0.6120891565315791,1.8603264767232472,8.550716647062979,57.313627853237946,78.91992816681508,-4434.0,-53187.21359999411,1,"[0.6120891565315791]","[89.39]","[43.78011903671744]","[8.550716647062979]","[1.8603264767232472]","[5.0]","[57.313627853237946]","[false]","[291.0]","[1244160962]","[5.0]","[true]","[31.0]","[53187.21359999411]","[false]","[8.0]","[35.0]","[4434]","[8396.0]","[40.0]","[78.91992816681508]","[true]","[10.0]","[269.0]"
90,344,66.69836196706228,0.20717876007159275,2.9899220405516163,21.012947971962312,43.74453684464298,39.88263070330395,-724.5,-46765.58039999729,4,"[0.20717876007159275,0.20717876007159275,0.20717876007159275,0.20717876007159275]","[27.51,56.45,43.309999999999995,52.26]","[66.69836196706228,66.69836196706228,66.69836196706228,66.69836196706228]","[21.012947971962312,21.012947971962312,21.012947971962312,21.012947971962312]","[2.9899220405516163,2.9899220405516163,2.9899220405516163,2.9899220405516163]","[5.0,5.0,5.0,5.0]","[43.74453684464298,43.74453684464298,43.74453684464298,43.74453684464298]","[false,false,false,false]","[1989.0,1464.0,1579.0,1573.0]","[1946749574,948843554,1771387108,115531889]","[5.0,5.0,5.0,5.0]","[true,true,true,true]","[53.0,40.0,38.0,49.0]","[41877.396799998074,48526.51839999695,45826.70559999755,47704.455199997035]","[false,false,false,false]","[8.0,8.0,8.0,8.0]","[35.0,35.0,35.0,35.0]","[185,1057,549,900]","[8396.0,8396.0,8396.0,8396.0]","[40.0,40.0,40.0,40.0]","[39.88263070330395,39.88263070330395,39.88263070330395,39.88263070330395]","[true,true,true,true]","[10.0,10.0,10.0,10.0]","[193.0,211.0,217.0,235.0]"
90,344,75.2872700447447,0.32165954439789446,3.5588126561210993,22.10860503761348,76.82342422554123,61.73864798346143,-4656.0,-52933.057599994085,1,"[0.32165954439789446]","[90.22]","[75.2872700447447]","[22.10860503761348]","[3.5588126561210993]","[5.0]","[76.82342422554123]","[false]","[305.0]","[-1449163467]","[5.0]","[true]","[31.0]","[52933.057599994085]","[false]","[8.0]","[35.0]","[4656]","[8396.0]","[40.0]","[61.73864798346143]","[true]","[10.0]","[278.0]"
90,344,31.188567311246466,0.4288184893314556,2.3312715683052234,29.654871071499645,74.39322569409181,42.65585909095107,-3785.5,-52888.23599999421,2,"[0.4288184893314556,0.4288184893314556]","[88.23,88.34]","[31.188567311246466,31.188567311246466]","[29.654871071499645,29.654871071499645]","[2.3312715683052234,2.3312715683052234]","[5.0,5.0]","[74.39322569409181,74.39322569409181]","[false,false]","[760.0,707.0]","[31173942,-1679382589]","[5.0,5.0]","[true,true]","[35.0,36.0]","[53126.6167999942,52649.85519999423]","[false,false]","[8.0,8.0]","[35.0,35.0]","[3647,3924]","[8396.0,8396.0]","[40.0,40.0]","[42.65585909095107,42.65585909095107]","[true,true]","[10.0,10.0]","[252.0,258.0]"
90,344,73.59970247691028,0.5984787969190817,1.2429171681735145,21.451841023172317,78.43182750599661,74.79428124426055,-5006.0,-52835.151199993976,1,"[0.5984787969190817]","[92.12]","[73.59970247691028]","[21.451841023172317]","[1.2429171681735145]","[5.0]","[78.43182750599661]","[false]","[155.0]","[955026692]","[5.0]","[true]","[33.0]","[52835.151199993976]","[false]","[8.0]","[35.0]","[5006]","[8396.0]","[40.0]","[74.79428124426055]","[true]","[10.0]","[278.0]"
90,344,53.1368493847277,0.7899200192966251,3.6449081932127214,23.401596751427313,67.55330603268067,79.29928503756929,-4882.0,-52343.115199994165,2,"[0.7899200192966251,0.7899200192966251]","[92.28,89.84]","[53.1368493847277,53.1368493847277]","[23.401596751427313,23.401596751427313]","[3.6449081932127214,3.6449081932127214]","[5.0,5.0]","[67.55330603268067,67.55330603268067]","[false,false]","[189.0,188.0]","[1409866607,131671192]","[5.0,5.0]","[true,true]","[29.0,39.0]","[51849.32639999421,52836.90399999412]","[false,false]","[8.0,8.0]","[35.0,35.0]","[5098,4666]","[8396.0,8396.0]","[40.0,40.0]","[79.29928503756929,79.29928503756929]","[true,true]","[10.0,10.0]","[275.0,268.0]"
90,344,29.96269414041012,0.6598950436719007,2.6858912916971907,12.280391005918325,74.32953659519566,36.20548400493141,-2064.0,-51056.05919999524,3,"[0.6598950436719007,0.6598950436719007,0.6598950436719007]","[83.57,79.03,79.35]","[29.96269414041012,29.96269414041012,29.96269414041012]","[12.280391005918325,12.280391005918325,12.280391005918325]","[2.6858912916971907,2.6858912916971907,2.6858912916971907]","[5.0,5.0,5.0]","[74.32953659519566,74.32953659519566,74.32953659519566]","[false,false,false]","[1313.0,1325.0,1457.0]","[-1195831028,1786416595,1800477806]","[5.0,5.0,5.0]","[true,true,true]","[29.0,37.0,41.0]","[51577.14159999484,51056.05919999524,50653.41599999517]","[false,false,false]","[8.0,8.0,8.0]","[35.0,35.0,35.0]","[2606,2012,2064]","[8396.0,8396.0,8396.0]","[40.0,40.0,40.0]","[36.20548400493141,36.20548400493141,36.20548400493141]","[true,true,true]","[10.0,10.0,10.0]","[240.0,217.0,204.0]"
90,344,73.947092489706,0.6340527558343645,4.863122158694378,6.5452198711585154,63.62143458948153,78.96650109496932,-5057.0,-52518.89599999404,1,"[0.6340527558343645]","[91.5]","[73.947092489706]","[6.5452198711585154]","[4.863122158694378]","[5.0]","[63.62143458948153]","[false]","[163.0]","[544784270]","[5.0]","[true]","[40.0]","[52518.89599999404]","[false]","[8.0]","[35.0]","[5057]","[8396.0]","[40.0]","[78.96650109496932]","[true]","[10.0]","[277.0]"
90,344,67.79992919223969,0.6818265010431184,3.024539974890196,25.907047804252848,67.84390094551878,72.1034422260508,-4993.0,-51748.665599994274,2,"[0.6818265010431184,0.6818265010431184]","[90.7,89.38000000000001]","[67.79992919223969,67.79992919223969]","[25.907047804252848,25.907047804252848]","[3.024539974890196,3.024539974890196]","[5.0,5.0]","[67.84390094551878,67.84390094551878]","[false,false]","[150.0,146.0]","[783660960,-673669550]","[5.0,5.0]","[true,true]","[35.0,35.0]","[52108.49039999421,51388.840799994345]","[false,false]","[8.0,8.0]","[35.0,35.0]","[5156,4830]","[8396.0,8396.0]","[40.0,40.0]","[72.1034422260508,72.1034422260508]","[true,true]","[10.0,10.0]","[281.0,282.0]"
90,344,49.511046823173416,0.4345777393080005,1.6952215457805462,16.541598510556227,69.77847946863264,45.550371892358264,-2214.0,-50236.24959999523,3,"[0.4345777393080005,0.4345777393080005,0.4345777393080005]","[72.23,79.5,87.7]","[49.511046823173416,49.511046823173416,49.511046823173416]","[16.541598510556227,16.541598510556227,16.541598510556227]","[1.6952215457805462,1.6952215457805462,1.6952215457805462]","[5.0,5.0,5.0]","[69.77847946863264,69.77847946863264,69.77847946863264]","[false,false,false]","[1329.0,1215.0,900.0]","[-1013499935,-341935686,2083542266]","[5.0,5.0,5.0]","[true,true,true]","[37.0,40.0,29.0]","[48652.97039999572,50236.24959999523,52458.299199994435]","[false,false,false]","[8.0,8.0,8.0]","[35.0,35.0,35.0]","[1840,2214,3437]","[8396.0,8396.0,8396.0]","[40.0,40.0,40.0]","[45.550371892358264,45.550371892358264,45.550371892358264]","[true,true,true]","[10.0,10.0,10.0]","[208.0,211.0,265.0]"
90,344,73.5997024769103,0.5984787969190817,1.2429171681735145,21.45184102317232,78.43182750599662,74.79427400922664,-5038.0,-52520.64879999402,1,"[0.5984787969190817]","[90.44]","[73.5997024769103]","[21.45184102317232]","[1.2429171681735145]","[5.0]","[78.43182750599662]","[false]","[143.0]","[-1915032124]","[5.0]","[true]","[28.0]","[52520.64879999402]","[false]","[8.0]","[35.0]","[5038]","[8396.0]","[40.0]","[74.79427400922664]","[true]","[10.0]","[287.0]"
