evolution$generation,evolution$evaluated,probaDiscu,fréquenceRéu,tpsAuChamp,objective$om_stockMil,objective$om_charette,evolution$samples,qPrésenceBrousse,om_underTrees,tpsAuChamp,participants,fréquenceRéu,nombreBergers,probaDiscu,om_nbCoupe,probaDenonce,mySeed,om_delatMil,SPop,om_charette,om_stockMil,nbSurveillants,nbProTGMax,om_trees,coordinationRNA,engagésInitiaux,nbChampsVisités,om_delatArbres,SReprez,nbCoupeurs,om_caughtCutter
8400,25231,92.7681604589428,7.298540567822514,10.67993438098705,47586.3915999967,42.5,4,"[0.2,0.2,0.2,0.2]","[55.06999999999999,54.13,56.42,56.64]","[10.67993438098705,10.67993438098705,10.67993438098705,10.67993438098705]","[10.0,10.0,10.0,10.0]","[7.298540567822514,7.298540567822514,7.298540567822514,7.298540567822514]","[5.0,5.0,5.0,5.0]","[92.7681604589428,92.7681604589428,92.7681604589428,92.7681604589428]","[1359.0,1387.0,1420.0,1421.0]","[50.0,50.0,50.0,50.0]","[-687779454,-1181820407,58356038,919121072]","[2931.244999999173,1812.9585999989577,2480.024199999156,1707.9783999989377]","[true,true,true,true]","[54.0,36.0,39.0,46.0]","[47601.0399999967,47571.7431999967,48097.08239999682,46495.52399999661]","[1.0,1.0,1.0,1.0]","[25.0,25.0,25.0,25.0]","[947.0,1040.0,1024.0,963.0]","[true,true,true,true]","[9.0,9.0,9.0,9.0]","[94.0,90.0,91.0,93.0]","[412.0,505.0,489.0,428.0]","[false,false,false,false]","[10.0,10.0,10.0,10.0]","[208.0,235.0,211.0,209.0]"
8400,25231,86.5198457705498,7.444497521265542,0.854443405629754,43012.71039999806,57.0,1,"[0.2]","[27.250000000000004]","[0.854443405629754]","[10.0]","[7.444497521265542]","[5.0]","[86.5198457705498]","[633.0]","[50.0]","[2123413667]","[-2851.805599999643]","[true]","[57.0]","[43012.71039999806]","[1.0]","[25.0]","[209.0]","[true]","[9.0]","[94.0]","[-326.0]","[false]","[10.0]","[231.0]"
8400,25231,32.42844470464607,1.0,42.646290168369845,43546.56319999818,35.0,1,"[0.2]","[28.88]","[42.646290168369845]","[10.0]","[1.0]","[5.0]","[32.42844470464607]","[180.0]","[50.0]","[-1904149404]","[-1777.2765999995972]","[true]","[35.0]","[43546.56319999818]","[1.0]","[25.0]","[204.0]","[true]","[9.0]","[94.0]","[-331.0]","[false]","[10.0]","[5.0]"
8400,25231,49.51063473084241,9.7169831667849,18.059769660255736,48945.93839999631,38.0,1,"[0.2]","[64.37]","[18.059769660255736]","[10.0]","[9.7169831667849]","[5.0]","[49.51063473084241]","[1130.0]","[50.0]","[487265043]","[3561.3139999986306]","[true]","[38.0]","[48945.93839999631]","[1.0]","[25.0]","[1311.0]","[true]","[9.0]","[91.0]","[776.0]","[false]","[10.0]","[211.0]"
8400,25231,3.316786284115341,9.685761470451869,0.0,42051.424799998225,58.0,1,"[0.2]","[22.91]","[0.0]","[10.0]","[9.685761470451869]","[5.0]","[3.316786284115341]","[578.0]","[50.0]","[2012292449]","[-3115.2263999994393]","[true]","[58.0]","[42051.424799998225]","[1.0]","[25.0]","[118.0]","[true]","[9.0]","[92.0]","[-417.0]","[false]","[10.0]","[19.0]"
8400,25231,47.9477052718734,6.816180937347219,7.956228600773777,44576.95919999802,52.0,3,"[0.2,0.2,0.2]","[28.22,32.83,37.830000000000005]","[7.956228600773777,7.956228600773777,7.956228600773777]","[10.0,10.0,10.0]","[6.816180937347219,6.816180937347219,6.816180937347219]","[5.0,5.0,5.0]","[47.9477052718734,47.9477052718734,47.9477052718734]","[1644.0,1515.0,1539.0]","[50.0,50.0,50.0]","[80516747,627605073,-668142078]","[-1335.758799999363,-723.7185999996,860.6874000003154]","[true,true,true]","[58.0,52.0,47.0]","[43785.695199998234,44576.95919999802,45691.239199997886]","[1.0,1.0,1.0]","[25.0,25.0,25.0]","[198.0,260.0,345.0]","[true,true,true]","[9.0,9.0,9.0]","[96.0,89.0,92.0]","[-337.0,-275.0,-190.0]","[false,false,false]","[10.0,10.0,10.0]","[164.0,173.0,181.0]"
8400,25231,82.00859367726262,9.401358517320933,78.86730258467132,51343.5183999945,44.0,2,"[0.2,0.2]","[84.32,87.78]","[78.86730258467132,78.86730258467132]","[10.0,10.0]","[9.401358517320933,9.401358517320933]","[5.0,5.0]","[82.00859367726262,82.00859367726262]","[414.0,362.0]","[50.0,50.0]","[-1374387980,-276556288]","[5989.630599996854,6218.996999996729]","[true,true]","[48.0,40.0]","[51024.50879999453,51662.52799999447]","[1.0,1.0]","[25.0,25.0]","[2940.0,3260.0]","[true,true]","[9.0,9.0]","[90.0,89.0]","[2405.0,2725.0]","[false,false]","[10.0,10.0]","[240.0,240.0]"
8400,25231,57.973543176505565,1.1214045780447628,26.825381861821768,44534.891999998,50.0,1,"[0.2]","[34.599999999999994]","[26.825381861821768]","[10.0]","[1.1214045780447628]","[5.0]","[57.973543176505565]","[555.0]","[50.0]","[-478846877]","[-727.4745999996085]","[true]","[50.0]","[44534.891999998]","[1.0]","[25.0]","[340.0]","[true]","[9.0]","[92.0]","[-195.0]","[false]","[10.0]","[197.0]"
8400,25231,87.3528147288895,5.4913220943527215,8.701088446687026,46099.14079999717,33.0,1,"[0.2]","[45.23]","[8.701088446687026]","[10.0]","[5.4913220943527215]","[5.0]","[87.3528147288895]","[1331.0]","[50.0]","[-1468159208]","[783.5641999993386]","[true]","[33.0]","[46099.14079999717]","[1.0]","[25.0]","[671.0]","[true]","[9.0]","[89.0]","[136.0]","[false]","[10.0]","[200.0]"
8400,25231,57.045011710130325,3.7804260124002127,29.334827268542142,48767.15279999584,28.0,1,"[0.2]","[68.22]","[29.334827268542142]","[10.0]","[3.7804260124002127]","[5.0]","[57.045011710130325]","[956.0]","[50.0]","[34516047]","[4019.2329999980866]","[true]","[28.0]","[48767.15279999584]","[1.0]","[25.0]","[1584.0]","[true]","[9.0]","[91.0]","[1049.0]","[false]","[10.0]","[210.0]"
