"","evolution.generation","evolution.evaluated","tpsAuChamp","qPrésenceBrousse","fréquenceRéu","probaDenonce","probaDiscu","nbProTGMax","objective.om_stockMil","objective.om_charette","evolution.samples","qPrésenceBrousse.1","om_underTrees","tpsAuChamp.1","participants","fréquenceRéu.1","nombreBergers","probaDiscu.1","om_nbCoupe","probaDenonce.1","mySeed","om_delatMil","SPop","om_charette","om_stockMil","nbSurveillants","nbProTGMax.1","om_trees","coordinationRNA","engagésInitiaux","nbChampsVisités","om_delatArbres","SReprez","nbCoupeurs","om_caughtCutter"
"11",33200,33200,12.7457051618838,1,5.94400515950763,100,58.867567456032,40.6049851859756,50529.2175999947,19,5,"[1.0,1.0,1.0,1.0,1.0]","[85.55,86.81,85.83,87.05000000000001,88.32]","[12.7457051618838,12.7457051618838,12.7457051618838,12.7457051618838,12.7457051618838]","[10.0,10.0,10.0,10.0,10.0]","[5.9440051595076335,5.9440051595076335,5.9440051595076335,5.9440051595076335,5.9440051595076335]","[5.0,5.0,5.0,5.0,5.0]","[58.867567456032035,58.867567456032035,58.867567456032035,58.867567456032035,58.867567456032035]","[547.0,503.0,533.0,594.0,599.0]","[100.0,100.0,100.0,100.0,100.0]","[-886400767,-210358746,1342789683,-1822805780,922243027]","[5423.288399997102,7963.596399996561,8118.781799996737,5964.903599996986,7742.868799996788]","[true,true,true,true,true]","[38.0,19.0,38.0,35.0,39.0]","[50529.21759999474,52610.54239999429,53438.36479999432,50845.723199994565,52088.20799999438]","[1.0,1.0,1.0,1.0,1.0]","[40.604985185975586,40.604985185975586,40.604985185975586,40.604985185975586,40.604985185975586]","[3339.0,3633.0,3288.0,3227.0,3211.0]","[true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0]","[90.0,92.0,95.0,94.0,90.0]","[2804.0,3098.0,2753.0,2692.0,2676.0]","[false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0]","[234.0,240.0,219.0,222.0,217.0]"
"24",33200,33200,34.1696353195162,0.782816952522801,5.35587209732465,77.7654013678677,84.2133051404492,8.14373839778372,47648.6159999962,32,5,"[0.782816952522801,0.782816952522801,0.782816952522801,0.782816952522801,0.782816952522801]","[68.32000000000001,67.35,69.72,68.24,65.81]","[34.16963531951615,34.16963531951615,34.16963531951615,34.16963531951615,34.16963531951615]","[10.0,10.0,10.0,10.0,10.0]","[5.355872097324653,5.355872097324653,5.355872097324653,5.355872097324653,5.355872097324653]","[5.0,5.0,5.0,5.0,5.0]","[84.21330514044924,84.21330514044924,84.21330514044924,84.21330514044924,84.21330514044924]","[260.0,270.0,220.0,244.0,269.0]","[77.7654013678677,77.7654013678677,77.7654013678677,77.7654013678677,77.7654013678677]","[-175088602,-574190519,-1804568136,-849623218,-1459723977]","[5473.4309999982725,4099.673999998209,5232.483599997904,2778.000199998445,2694.116199998505]","[true,true,true,true,true]","[44.0,32.0,37.0,41.0,37.0]","[50058.71599999588,49247.41999999594,49769.5039999956,48543.295199996006,47648.61599999618]","[1.0,1.0,1.0,1.0,1.0]","[8.143738397783725,8.143738397783725,8.143738397783725,8.143738397783725,8.143738397783725]","[1388.0,1450.0,1462.0,1337.0,1404.0]","[true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0]","[90.0,94.0,93.0,96.0,91.0]","[853.0,915.0,927.0,802.0,869.0]","[false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0]","[239.0,242.0,243.0,226.0,236.0]"
"87",33200,33200,20.0751374161019,0.525299836557919,2.89825741910146,5.17258066766938,37.5088737275597,5,42351.6543999982,43,5,"[0.5252998365579191,0.5252998365579191,0.5252998365579191,0.5252998365579191,0.5252998365579191]","[30.72,29.09,29.509999999999998,24.22,28.83]","[20.075137416101864,20.075137416101864,20.075137416101864,20.075137416101864,20.075137416101864]","[10.0,10.0,10.0,10.0,10.0]","[2.898257419101464,2.898257419101464,2.898257419101464,2.898257419101464,2.898257419101464]","[5.0,5.0,5.0,5.0,5.0]","[37.50887372755972,37.50887372755972,37.50887372755972,37.50887372755972,37.50887372755972]","[415.0,384.0,469.0,373.0,400.0]","[5.172580667669378,5.172580667669378,5.172580667669378,5.172580667669378,5.172580667669378]","[-13886363,-1390371039,-1313813688,-876335015,-636924816]","[-161.13239999936195,-1711.483999999342,-2296.606199999311,-2814.3707999994513,-2111.310199999585]","[true,true,true,true,true]","[43.0,46.0,53.0,57.0,49.0]","[44505.59519999822,43212.77999999827,43307.68159999813,42351.654399998224,42843.18959999812]","[1.0,1.0,1.0,1.0,1.0]","[5.0,5.0,5.0,5.0,5.0]","[220.0,203.0,191.0,109.0,189.0]","[true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0]","[96.0,91.0,90.0,92.0,92.0]","[-315.0,-332.0,-344.0,-426.0,-346.0]","[false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0]","[53.0,42.0,4.0,76.0,85.0]"
"112",33200,33200,39.5546166748349,0.574727358199141,3.42831844614425,49.8559645497496,59.3024006405412,30.7374567682909,44917.252799998,38,5,"[0.5747273581991409,0.5747273581991409,0.5747273581991409,0.5747273581991409,0.5747273581991409]","[46.2,34.43,47.42,70.95,36.620000000000005]","[39.55461667483488,39.55461667483488,39.55461667483488,39.55461667483488,39.55461667483488]","[10.0,10.0,10.0,10.0,10.0]","[3.4283184461442526,3.4283184461442526,3.4283184461442526,3.4283184461442526,3.4283184461442526]","[5.0,5.0,5.0,5.0,5.0]","[59.30240064054115,59.30240064054115,59.30240064054115,59.30240064054115,59.30240064054115]","[658.0,688.0,635.0,560.0,891.0]","[49.85596454974956,49.85596454974956,49.85596454974956,49.85596454974956,49.85596454974956]","[601186906,21609255,-1727710489,-526669642,-1337059335]","[945.9485999995231,248.0212000004758,-593.3228000003,3348.286199998234,-466.99599999967904]","[true,true,true,true,true]","[52.0,49.0,53.0,38.0,46.0]","[46056.82319999736,45519.46479999794,45321.64879999734,48585.3623999959,44917.25279999796]","[1.0,1.0,1.0,1.0,1.0]","[30.737456768290944,30.737456768290944,30.737456768290944,30.737456768290944,30.737456768290944]","[632.0,335.0,669.0,1523.0,364.0]","[true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0]","[92.0,96.0,90.0,91.0,91.0]","[97.0,-200.0,134.0,988.0,-171.0]","[false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0]","[204.0,166.0,179.0,197.0,160.0]"
"197",33200,33200,92.9703904021687,0.464023106802281,7.4971437746611,72.2560428453782,47.3071871543391,27.9162610571172,51599.9279999944,27,5,"[0.464023106802281,0.464023106802281,0.464023106802281,0.464023106802281,0.464023106802281]","[90.93,88.01,86.65,85.35000000000001,87.49]","[92.97039040216869,92.97039040216869,92.97039040216869,92.97039040216869,92.97039040216869]","[10.0,10.0,10.0,10.0,10.0]","[7.497143774661101,7.497143774661101,7.497143774661101,7.497143774661101,7.497143774661101]","[5.0,5.0,5.0,5.0,5.0]","[47.307187154339125,47.307187154339125,47.307187154339125,47.307187154339125,47.307187154339125]","[104.0,105.0,113.0,102.0,90.0]","[72.2560428453782,72.2560428453782,72.2560428453782,72.2560428453782,72.2560428453782]","[628342714,1330055355,-483032462,-1799730684,1540833842]","[7989.387599996298,8035.586399996333,7594.1937999966685,5867.2475999968665,6663.6447999967495]","[true,true,true,true,true]","[27.0,29.0,32.0,29.0,38.0]","[53200.48479999402,53238.295199994056,52578.240799994375,51905.41599999442,51599.9279999944]","[1.0,1.0,1.0,1.0,1.0]","[27.9162610571172,27.9162610571172,27.9162610571172,27.9162610571172,27.9162610571172]","[3844.0,3814.0,3729.0,3762.0,3673.0]","[true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0]","[96.0,92.0,92.0,91.0,91.0]","[3309.0,3279.0,3194.0,3227.0,3138.0]","[false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0]","[249.0,249.0,250.0,250.0,250.0]"
"201",33200,33200,84.9993147282494,0.576256012952855,7.54845510436288,73.8598834371772,50.4573741785368,25.7600090183037,50956.9007999945,18,5,"[0.5762560129528546,0.5762560129528546,0.5762560129528546,0.5762560129528546,0.5762560129528546]","[88.64,87.42999999999999,85.81,88.35,88.18]","[84.99931472824944,84.99931472824944,84.99931472824944,84.99931472824944,84.99931472824944]","[10.0,10.0,10.0,10.0,10.0]","[7.548455104362883,7.548455104362883,7.548455104362883,7.548455104362883,7.548455104362883]","[5.0,5.0,5.0,5.0,5.0]","[50.45737417853683,50.45737417853683,50.45737417853683,50.45737417853683,50.45737417853683]","[106.0,141.0,94.0,87.0,102.0]","[73.8598834371772,73.8598834371772,73.8598834371772,73.8598834371772,73.8598834371772]","[-1520323656,-476662509,1055753705,-1184580508,1069907253]","[6544.391799996556,6464.764599996641,6640.169799996998,6434.591399996709,5602.324399996702]","[true,true,true,true,true]","[27.0,36.0,18.0,38.0,33.0]","[51545.090399994304,51708.60159999447,51427.90319999467,51811.0151999944,50956.90079999445]","[1.0,1.0,1.0,1.0,1.0]","[25.760009018303727,25.760009018303727,25.760009018303727,25.760009018303727,25.760009018303727]","[3557.0,3398.0,3670.0,3686.0,3586.0]","[true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0]","[92.0,88.0,90.0,95.0,88.0]","[3022.0,2863.0,3135.0,3151.0,3051.0]","[false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0]","[250.0,248.0,249.0,245.0,250.0]"
"203",33200,33200,0,0.289104396906749,9.01964885984941,53.7860836730981,23.9258898880903,30.3385273082005,42708.2239999981,44,6,"[0.2891043969067495,0.2891043969067495,0.2891043969067495,0.2891043969067495,0.2891043969067495,0.2891043969067495]","[25.6,30.12,26.75,27.1,26.35,27.24]","[0.0,0.0,0.0,0.0,0.0,0.0]","[10.0,10.0,10.0,10.0,10.0,10.0]","[9.019648859849406,9.019648859849406,9.019648859849406,9.019648859849406,9.019648859849406,9.019648859849406]","[5.0,5.0,5.0,5.0,5.0,5.0]","[23.925889888090314,23.925889888090314,23.925889888090314,23.925889888090314,23.925889888090314,23.925889888090314]","[649.0,686.0,684.0,648.0,709.0,607.0]","[53.786083673098126,53.786083673098126,53.786083673098126,53.786083673098126,53.786083673098126,53.786083673098126]","[-826720779,-426123405,1828709753,2083775872,-1854051856,952613941]","[-2033.0601999995706,-2194.818599999431,-1490.3807999994679,-2359.018399999448,-757.084399999374,-2119.072599999534]","[true,true,true,true,true,true]","[54.0,44.0,52.0,52.0,50.0,51.0]","[42769.57199999821,42910.29679999816,43124.889599998125,42767.81919999821,43762.658399998276,42708.22399999811]","[1.0,1.0,1.0,1.0,1.0,1.0]","[30.338527308200472,30.338527308200472,30.338527308200472,30.338527308200472,30.338527308200472,30.338527308200472]","[133.0,204.0,165.0,180.0,169.0,167.0]","[true,true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0,9.0]","[88.0,89.0,93.0,91.0,91.0,90.0]","[-402.0,-331.0,-370.0,-355.0,-366.0,-368.0]","[false,false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0,10.0]","[55.0,33.0,47.0,38.0,62.0,58.0]"
"206",33200,33200,96.8587237239862,0.627983686172231,9.72804663450245,0,36.3081745253886,13.2695304276126,47671.9031999966,31,5,"[0.6279836861722308,0.6279836861722308,0.6279836861722308,0.6279836861722308,0.6279836861722308]","[61.44,62.370000000000005,61.809999999999995,63.31,62.419999999999995]","[96.8587237239862,96.8587237239862,96.8587237239862,96.8587237239862,96.8587237239862]","[10.0,10.0,10.0,10.0,10.0]","[9.72804663450245,9.72804663450245,9.72804663450245,9.72804663450245,9.72804663450245]","[5.0,5.0,5.0,5.0,5.0]","[36.308174525388644,36.308174525388644,36.308174525388644,36.308174525388644,36.308174525388644]","[882.0,1113.0,996.0,1062.0,884.0]","[0.0,0.0,0.0,0.0,0.0]","[-1100195595,176248433,88905833,656257539,1217743464]","[2840.4123999989824,2827.7671999987942,2053.5303999987736,3160.2983999988282,3117.542599998538]","[true,true,true,true,true]","[47.0,31.0,39.0,48.0,38.0]","[48024.21599999661,48159.93279999653,47671.90319999659,47981.397599996446,48708.30879999625]","[1.0,1.0,1.0,1.0,1.0]","[13.269530427612649,13.269530427612649,13.269530427612649,13.269530427612649,13.269530427612649]","[1087.0,1178.0,1140.0,1080.0,1141.0]","[true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0]","[94.0,93.0,90.0,97.0,92.0]","[552.0,643.0,605.0,545.0,606.0]","[false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0]","[173.0,188.0,167.0,161.0,172.0]"
"243",33200,33200,45.1404892534318,0.262386895386365,1.77586886430511,12.6786851357518,73.1149602296664,12.4790212691472,43054.2767999981,41,5,"[0.26238689538636484,0.26238689538636484,0.26238689538636484,0.26238689538636484,0.26238689538636484]","[52.68000000000001,41.25,31.630000000000003,45.59,30.28]","[45.14048925343177,45.14048925343177,45.14048925343177,45.14048925343177,45.14048925343177]","[10.0,10.0,10.0,10.0,10.0]","[1.7758688643051084,1.7758688643051084,1.7758688643051084,1.7758688643051084,1.7758688643051084]","[5.0,5.0,5.0,5.0,5.0]","[73.11496022966635,73.11496022966635,73.11496022966635,73.11496022966635,73.11496022966635]","[815.0,948.0,1148.0,948.0,367.0]","[12.678685135751838,12.678685135751838,12.678685135751838,12.678685135751838,12.678685135751838]","[320758469,953021825,1856602087,1470493713,628288332]","[1154.281399999556,190.8673999996463,-1897.2181999996756,1134.875399999677,-1950.1151999996582]","[true,true,true,true,true]","[42.0,52.0,45.0,42.0,41.0]","[46303.9679999972,44982.10639999741,43054.27679999808,45962.17199999745,43138.91199999802]","[1.0,1.0,1.0,1.0,1.0]","[12.479021269147196,12.479021269147196,12.479021269147196,12.479021269147196,12.479021269147196]","[835.0,527.0,269.0,580.0,225.0]","[true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0]","[93.0,93.0,91.0,91.0,92.0]","[300.0,-8.0,-266.0,45.0,-310.0]","[false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0]","[205.0,169.0,166.0,192.0,172.0]"
"249",33200,33200,0,0.679965838681588,1.33070286784257,80.010451967499,58.566855495278,20.2046492803984,42436.039199998,48,5,"[0.6799658386815882,0.6799658386815882,0.6799658386815882,0.6799658386815882,0.6799658386815882]","[30.9,28.799999999999997,28.16,29.439999999999998,29.360000000000003]","[0.0,0.0,0.0,0.0,0.0]","[10.0,10.0,10.0,10.0,10.0]","[1.3307028678425652,1.3307028678425652,1.3307028678425652,1.3307028678425652,1.3307028678425652]","[5.0,5.0,5.0,5.0,5.0]","[58.566855495278,58.566855495278,58.566855495278,58.566855495278,58.566855495278]","[508.0,523.0,437.0,544.0,546.0]","[80.01045196749897,80.01045196749897,80.01045196749897,80.01045196749897,80.01045196749897]","[1060166791,452801086,-771161418,-491967681,-1897405941]","[-2330.472799999705,-1481.9297999994233,-1417.3891999994812,-1582.7783999996245,-1100.9461999995547]","[true,true,true,true,true]","[48.0,53.0,54.0,55.0,52.0]","[42436.039199997955,43415.353599998234,43228.30479999821,44042.35519999822,42733.76479999816]","[1.0,1.0,1.0,1.0,1.0]","[20.204649280398414,20.204649280398414,20.204649280398414,20.204649280398414,20.204649280398414]","[246.0,206.0,184.0,201.0,220.0]","[true,true,true,true,true]","[9.0,9.0,9.0,9.0,9.0]","[91.0,90.0,94.0,95.0,91.0]","[-289.0,-329.0,-351.0,-334.0,-315.0]","[false,false,false,false,false]","[10.0,10.0,10.0,10.0,10.0]","[233.0,200.0,200.0,200.0,203.0]"
