evolution$generation,evolution$evaluated,nbSurveillants,tpsAuChamp,probaDiscu,qPrésenceBrousse,nbProTGMax,objective$om_stockMil,objective$om_charette,evolution$samples,qPrésenceBrousse,om_underTrees,tpsAuChamp,participants,fréquenceRéu,nombreBergers,probaDiscu,om_nbCoupe,probaDenonce,mySeed,om_delatMil,SPop,om_charette,om_stockMil,nbSurveillants,nbProTGMax,om_trees,coordinationRNA,engagésInitiaux,nbChampsVisités,om_delatArbres,SReprez,nbCoupeurs,om_caughtCutter
20000,20000,4.381489634325252,39.77140506957754,10.473256124680953,6.194512575505561E-6,40.97534954104961,42124.79199999816,53.0,2,"[6.194512575505561E-6,6.194512575505561E-6]","[24.03,25.94]","[39.77140506957754,39.77140506957754]","[10.0,10.0]","[2.0,2.0]","[5.0,5.0]","[10.473256124680953,10.473256124680953]","[101.0,95.0]","[50.0,50.0]","[-843263320,1472498635]","[-2458.301999999261,-3223.273999999532]","[false,false]","[57.0,53.0]","[43070.30239999842,42124.79199999816]","[4.381489634325252,4.381489634325252]","[40.97534954104961,40.97534954104961]","[115.0,166.0]","[true,true]","[9.0,9.0]","[20.769192122946553,19.628027720586854]","[-420.0,-369.0]","[true,true]","[10.0,10.0]","[59.0,52.0]"
20000,20000,13.189273236745777,23.033602598791557,49.1388119842579,0.6018679427562625,18.634752104402974,50135.338399995606,30.0,1,"[0.6018679427562625]","[72.77]","[23.033602598791557]","[10.0]","[2.0]","[5.0]","[49.1388119842579]","[65.0]","[50.0]","[1579380492]","[4846.742399997813]","[false]","[30.0]","[50135.338399995606]","[13.189273236745777]","[18.634752104402974]","[1871.0]","[true]","[9.0]","[7.051184574817872]","[1336.0]","[true]","[10.0]","[250.0]"
20000,20000,1.1011101062300925,39.48142970727566,60.768734547244236,0.5572396322321653,39.29225810684512,44095.18959999819,52.0,1,"[0.5572396322321653]","[27.029999999999998]","[39.48142970727566]","[10.0]","[2.0]","[5.0]","[60.768734547244236]","[876.0]","[50.0]","[1141053109]","[-1168.6167999995669]","[false]","[52.0]","[44095.18959999819]","[1.1011101062300925]","[39.29225810684512]","[175.0]","[true]","[9.0]","[88.09291591383366]","[-360.0]","[true]","[10.0]","[136.0]"
20000,20000,11.156914175049188,95.15034616905467,100.0,0.9579319492403995,45.02194826046007,53594.363999993715,30.0,1,"[0.9579319492403995]","[93.08999999999999]","[95.15034616905467]","[10.0]","[2.0]","[5.0]","[100.0]","[121.0]","[50.0]","[-266771582]","[8317.724599996189]","[false]","[30.0]","[53594.363999993715]","[11.156914175049188]","[45.02194826046007]","[5565.0]","[true]","[9.0]","[8.066746645884566]","[5030.0]","[true]","[10.0]","[248.0]"
20000,20000,12.989883841603964,100.0,100.0,0.8678978828391828,5.0,47713.219199996805,39.0,1,"[0.8678978828391828]","[56.81]","[100.0]","[10.0]","[2.0]","[5.0]","[100.0]","[87.0]","[50.0]","[1370272733]","[2982.1387999990475]","[false]","[39.0]","[47713.219199996805]","[12.989883841603964]","[5.0]","[881.0]","[true]","[9.0]","[7.005451404310903]","[346.0]","[true]","[10.0]","[244.0]"
20000,20000,11.539565586586543,15.214614967958918,79.2129055214985,0.23396772072771704,7.048849103491614,47219.931199996645,32.0,3,"[0.23396772072771704,0.23396772072771704,0.23396772072771704]","[58.209999999999994,56.84,57.97]","[15.214614967958918,15.214614967958918,15.214614967958918]","[10.0,10.0,10.0]","[2.0,2.0,2.0]","[5.0,5.0,5.0]","[79.2129055214985,79.2129055214985,79.2129055214985]","[133.0,131.0,99.0]","[50.0,50.0,50.0]","[394175559,396743915,-876669504]","[1720.9991999989434,1895.0897999990484,1981.2899999988658]","[false,false,false]","[32.0,49.0,41.0]","[47219.931199996645,47497.87519999669,47844.42879999655]","[11.539565586586543,11.539565586586543,11.539565586586543]","[7.048849103491614,7.048849103491614,7.048849103491614]","[1027.0,973.0,960.0]","[true,true,true]","[9.0,9.0,9.0]","[7.9725704845371075,7.712595360041332,7.885912109705182]","[492.0,438.0,425.0]","[true,true,true]","[10.0,10.0,10.0]","[247.0,240.0,243.0]"
20000,20000,9.334853365771526,65.78855777871361,37.134887439308976,0.4717247972188194,7.380890647832988,47930.06559999687,47.0,1,"[0.4717247972188194]","[54.410000000000004]","[65.78855777871361]","[10.0]","[2.0]","[5.0]","[37.134887439308976]","[166.0]","[50.0]","[1164531044]","[3051.3117999991664]","[false]","[47.0]","[47930.06559999687]","[9.334853365771526]","[7.380890647832988]","[771.0]","[true]","[9.0]","[9.641286956901384]","[236.0]","[true]","[10.0]","[240.0]"
20000,20000,12.394981627599023,21.449471350366608,6.437274257312297,0.7284189042207456,24.3111242785663,46835.567199996745,38.0,2,"[0.7284189042207456,0.7284189042207456]","[75.41,60.62]","[21.449471350366608,21.449471350366608]","[10.0,10.0]","[2.0,2.0]","[5.0,5.0]","[6.437274257312297,6.437274257312297]","[92.0,80.0]","[50.0,50.0]","[611576945,-79948031]","[5037.797599997983,1749.043999999063]","[false,false]","[47.0,38.0]","[49354.84159999555,46835.567199996745]","[12.394981627599023,12.394981627599023]","[24.3111242785663,24.3111242785663]","[1842.0,1305.0]","[true,true]","[9.0,9.0]","[7.180325285987519,7.341680910391733]","[1307.0,770.0]","[true,true]","[10.0,10.0]","[245.0,243.0]"
20000,20000,12.382089985525425,55.59168783438363,62.50503673540644,0.47333086605074465,44.634947764568544,52562.2151999944,30.0,1,"[0.47333086605074465]","[87.37]","[55.59168783438363]","[10.0]","[2.0]","[5.0]","[62.50503673540644]","[97.0]","[50.0]","[-32093145]","[7706.748599996805]","[false]","[30.0]","[52562.2151999944]","[12.382089985525425]","[44.634947764568544]","[3986.0]","[true]","[9.0]","[7.430086528812772]","[3451.0]","[true]","[10.0]","[250.0]"
20000,20000,6.258851551909732,100.0,96.65436109158912,0.8876216109200249,31.322118837955706,53521.9983999939,40.0,1,"[0.8876216109200249]","[89.83]","[100.0]","[10.0]","[2.0]","[5.0]","[96.65436109158912]","[248.0]","[50.0]","[106474572]","[7178.0915999964345]","[false]","[40.0]","[53521.9983999939]","[6.258851551909732]","[31.322118837955706]","[4158.0]","[true]","[9.0]","[14.53940858722454]","[3623.0]","[true]","[10.0]","[242.0]"
